make,model,complaints_distinct_odino
GMC,CANYON,16
CADILLAC,CT6,16
LINCOLN,MKT,15
LAND ROVER,RANGE ROVER,15
FORD,TAURUS,15
BMW,R 1250 GS,15
BMW,530I,15
VOLKSWAGEN,BEETLE,14
MERCEDES-BENZ,CLS 450,14
LEXUS,NX300,14
JAYCO TRAVEL TRAILER,JAY FLIGHT,14
HONDA,CRF1000,14
GRAND DESIGN,MOMENTUM,14
FORD,F-550,14
CHEVROLET,SPARK,14
AUDI,A8,14
MITSUBISHI,ECLIPSE CROSS,13
HYUNDAI,ELANTRA GT,13
GMC,SIERRA 3500,13
BMW,I3,13
VOLKSWAGEN,PASSAT,12
RAM,5500,12
MINI,COOPER,12
KTM,790 ADVENTURE,12
BMW,530E,12
AUDI,A5,12
TOYOTA,CAMRY HYBRID,11
MINI,COUNTRYMAN,11
LAND ROVER,RANGE ROVER EVOQUE,11
BMW,X1,11
BMW,540I,11
TOYOTA,86,10
MITSUBISHI,MIRAGE G4,10
HYUNDAI,IONIQ PLUG-IN HYBRID,10
CADILLAC,CTS,10
BMW,X4,10
AUDI,Q3,10
AUDI,A4,10
AUDI,A3,10
VOLKSWAGEN,GOLF SPORTWAGEN,9
MERCEDES-BENZ,SPRINTER 4500,9
KEYSTONE,COUGAR,9
GRAND DESIGN,REFLECTION,9
FOREST RIVER,R-POD,9
FOREST RIVER,CHEROKEE,9
FIAT,124 SPIDER,9
BMW,R 1250 RT,9
VOLKSWAGEN,ARTEON,8
TOYOTA,PRIUS PRIME,8
MERCEDES-BENZ,SPRINTER 1500,8
MERCEDES-BENZ,METRIS,8
MERCEDES-BENZ,GLC350E,8
MAZDA,MX-5,8
LEXUS,GX,8
KTM,790 ADVENTURE R,8
KENWORTH,T680,8
JAYCO TRAVEL TRAILER,JAY FLIGHT SLX,8
HONDA,GL1800,8
HONDA,CIVIC SI,8
HARLEY-DAVIDSON,FLHTCUTG,8
FREIGHTLINER,M2 BUSINESS CLASS,8
FOREST RIVER,ROCKWOOD,8
CHEVROLET,SONIC,8
CHEVROLET,EXPRESS,8
BMW,M5,8
ACURA,MDX SPORT HYBRID,8
WINNEBAGO,MINNIE,7
TOYOTA,SEQUOIA,7
MERCEDES-BENZ,GLE 400,7
LEXUS,IS 300,7
HUSQVARNA,VITPILEN 701,7
