# Zilocar census of ACTIVE DO-NOT-DRIVE recall campaigns, from NHTSA ODI recalls flat file FLAT_RCL_POST_2010.txt (static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip). Retrieved/processed 2026-09-15; archive member timestamp 2026-09-15 07:02 UTC; 245,599 rows; 13,616 distinct RCLTYPECD='V' campaigns; newest RCDATE inside = 2026-09-10.
# FILTER: RCLTYPECD='V' AND the structured do-not-drive advisory field = 'Yes'. That field is the 28th of 29 tab-separated fields (0-indexed 27); the 29th (0-indexed 28) is the PARK-OUTSIDE advisory and is reported here as park_outside_advisory. The two were told apart by cross-checking campaigns against NHTSA's own API (parkIt vs parkOutSide) rather than assumed from position: 12V336000 and 13V103000 return parkIt=true/parkOutSide=false, 15V335000 and 18V601000 the reverse, 22V541000 both true.
# POTAFF (potentially affected units) is taken ONCE PER CAMPAIGN, never summed across a campaign's component rows. All 202 campaigns' rows agreed on POTAFF, so this choice is unambiguous.
# TOTALS: 202 campaigns / 20,908,823 units across NHTSA's whole 'V' class. Of these, 108 campaigns / 20,752,140 units are CARS AND LIGHT TRUCKS (vehicle_class=light), and 94 campaigns / 156,683 units are NOT (motorcycles, buses, heavy trucks, motorhomes, trailers, industrial equipment) -- 46.5% of campaigns but only 0.75% of units. Use the light subset for any claim about used CARS.
# CAVEAT: POTAFF is units potentially affected AT LAUNCH, not vehicles still on the road or still unrepaired today. This file is not a count of unrepaired VINs and cannot be read as one.
# vehicle_class was assigned by Zilocar from MAKETXT/MODELTXT, not by NHTSA; NHTSA's 'V' class does not distinguish light vehicles. Note 'ESCAPE' here is Escape Trailer Industries (travel trailers), NOT the Ford Escape, and MERCEDES BENZ / MERCEDES-BENZ are two MAKETXT spellings of one manufacturer.
campaign_number,vehicle_class,potentially_affected_units,manufacturer,makes,models,model_year_min,model_year_max,newest_my_2016_or_older,components,airbag_component,park_outside_advisory,recall_report_date
15V020000,other,1577,Polaris Industries Inc.,POLARIS,SLINGSHOT,2015,2015,yes,STRUCTURE,no,No,20150120
23V283000,light,1434,Ford Motor Company,FORD,BRONCO; RANGER,2023,2023,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20230420
16V366000,other,1385,"Daimler Trucks North America, LLC",FCCC,XBP; XBR; XCL; XCM; XCP; XCR,2015,2016,yes,STEERING,no,No,20160526
26V242000,light,1217,"Roush Performance Products, Inc.",ROUSH,NISSAN FRONTIER PRO4X R,2026,2026,no,STEERING:LINKAGES:TIE ROD ASSEMBLY; SUSPENSION:FRONT:CONTROL ARM:UPPER ARM,no,No,20260415
23V064000,light,1182,"Subaru of America, Inc.",SUBARU,SOLTERRA,2023,2023,no,WHEELS:HUB,no,No,20230209
24V398000,other,972,"Mack Trucks, Inc.",MACK,ANTHEM (AN); GRANITE (GR); TE,2025,2025,no,STEERING:LINKAGES:DRAG:LINK:CONNECTION,no,No,20240604
26V197000,other,962,"Yamaha Motor Corporation, USA",YAMAHA,TW200,2026,2026,no,ELECTRICAL SYSTEM:INSTRUMENT PANEL:SPEEDOMETER/ODOMETER,no,No,20260327
24V230000,other,960,"Doosan Bobcat North America, Inc.",DOOSAN PORTABLE POWER,MOBILE GENERATOR,2015,2023,no,SERVICE BRAKES,no,No,20240325
14V320000,other,950,"BMW of North America, LLC",BMW,R 1200 RT,2014,2014,yes,SUSPENSION,no,No,20140612
22V845000,other,827,Nova Bus (US) Inc.,NOVA BUS,LFS; LFS ARTIC,2018,2022,no,STEERING:CRITICAL FASTENERS,no,No,20221115
21V675000,light,802,"Subaru of America, Inc.",SUBARU,IMPREZA,2021,2021,no,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20210830
20V676000,other,799,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,NINJA; NINJA H2 SX; ZX1002A; ZX1002B; ZX1002D,2018,2020,no,ELECTRICAL SYSTEM:SOFTWARE; POWER TRAIN:MANUAL TRANSMISSION,no,No,20201102
20V712000,light,776,"Volkswagen Group of America, Inc.",VOLKSWAGEN,ATLAS; ATLAS CROSS SPORT,2020,2021,no,STEERING,no,No,20201117
17V013000,light,725,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2007,2009,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20170110
12V475000,light,696,"BMW of North America, LLC",BMW,M5; M6,2013,2013,yes,ENGINE AND ENGINE COOLING:ENGINE,no,No,20120928
21V037000,light,683,"Chrysler (FCA US, LLC)",RAM,1500,2021,2021,no,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",no,No,20210201
22V444000,light,661,Toyota Motor Corporation,SUBARU; TOYOTA,BZ4X; SOLTERRA,2023,2023,no,WHEELS:HUB,no,No,20220623
26V351000,other,644,"Mack Trucks, Inc.",MACK,ANTHEM (AN); ANTHEM AN (4); GRANITE (GR); PINNACLE (PI/PN); PIONEER PR (4),2026,2027,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20260528
20V182000,other,616,Indian Motorcycle Company,INDIAN,CHALLENGER,2020,2020,no,ENGINE,no,No,20200325
23V698000,light,614,"Ferrari North America, Inc.",FERRARI,SF90 SPIDER; SF90 STRADALE,2022,2024,no,"ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION:PIPES, HOSES, AND FITTINGS",no,No,20231017
23V851000,light,590,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,AMG G63,2022,2023,no,POWER TRAIN:DRIVELINE:DIFFERENTIAL UNIT,no,No,20231215
21V826000,other,580,"Doosan Bobcat North America, Inc.",DOOSAN PORTABLE POWER,AIR COMPRESSOR; MOBILE GENERATOR,2019,2021,no,WHEELS; WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20211020
23V685000,other,562,Hyundai Translead,HYUNDAI TRANSLEAD,20'/40' 12PIN EXTEN CHASS,2022,2024,no,STRUCTURE,no,No,20231012
23V714000,other,514,Nova Bus (US) Inc.,NOVA BUS,LFS; LFS ARTIC,2015,2019,no,SEATS:CRITICAL FASTENERS,no,No,20231025
16V414000,other,510,Newmar Corporation,NEWMAR,DUTCH STAR,2014,2016,yes,STEERING,no,No,20160608
14V514000,light,508,Ford Motor Company,FORD,C-MAX; FOCUS,2014,2014,yes,STEERING,no,No,20140822
23V241000,light,489,"Porsche Cars North America, Inc.",PORSCHE,CARRERA GT,2004,2005,yes,SUSPENSION,no,No,20230405
21V864000,other,479,"Daimler Trucks North America, LLC",WESTERN STAR,49X,2021,2022,no,STEERING,no,No,20211105
14V246000,light,477,"General Motors, LLC",CHEVROLET; GMC,SIERRA; SILVERADO; TAHOE,2014,2015,yes,STEERING:LINKAGES:TIE ROD ASSEMBLY,no,No,20140514
22V110000,other,453,"Yamaha Motor Corporation, USA",YAMAHA,TRACER 9 GT,2021,2021,no,VEHICLE SPEED CONTROL:THROTTLE,no,No,20220224
23V329000,light,425,"Ferrari North America, Inc.",FERRARI,296,2022,2023,no,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",no,No,20230508
15V210000,other,409,"KTM North America, Inc.",KTM,690 ENDURO R,2015,2015,yes,"SERVICE BRAKES, HYDRAULIC",no,No,20150408
22V014000,other,394,"KTM North America, Inc.",HUSQVARNA,FE 350S; FE 501S,2022,2022,no,"SERVICE BRAKES, HYDRAULIC:CRITICAL FASTENERS; SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS",no,No,20220114
19V678000,light,368,"BMW of North America, LLC",BMW,X3; X4,2020,2020,no,STEERING; SUSPENSION:FRONT,no,No,20190925
22V541000,light,367,"BMW of North America, LLC",BMW,I4; IX,2022,2023,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,no,Yes,20220727
21V678000,other,342,"KTM North America, Inc.",HUSQVARNA,FE 350S; FE 501S,2022,2022,no,"SERVICE BRAKES, HYDRAULIC:CRITICAL FASTENERS; SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS",no,No,20210831
26V132000,other,324,ESCAPE TRAILER INDUSTRIES LTD.,ESCAPE,ESCAPE 17; ESCAPE 19; ESCAPE 21; ESCAPE 5.0,2025,2025,no,EQUIPMENT:MECHANICAL:SPARE TIRE MOUNT/RACK,no,No,20260305
24V833000,other,299,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,NINJA 7 HYBRID; Z7 HYBRID,2024,2024,no,STEERING; STRUCTURE:FRAME AND MEMBERS,no,No,20241105
23V432000,light,298,Toyota Motor Corporation,TOYOTA,CAMRY; CAMRY HYBRID,2023,2023,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20230615
22V937000,light,278,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,AMG G63,2022,2022,no,POWER TRAIN:AXLE ASSEMBLY; POWER TRAIN:DRIVELINE:DIFFERENTIAL UNIT,no,No,20221216
26V291000,other,247,Fontaine Trailer Company,FONTAINE,FUSION FLAT BED TRAILER,2025,2026,no,STRUCTURE:FRAME AND MEMBERS,no,No,20260507
18V403000,light,237,Mazda Motor Corp.,MAZDA,RX-8,2009,2010,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20180615
21V806000,other,233,"Yamaha Motor Corporation, USA",YAMAHA,XVS950,2020,2021,no,ENGINE,no,No,20211015
21V407000,light,223,Ford Motor Company,FORD,F-150,2021,2021,no,STEERING; STEERING:GEAR BOX (OTHER THAN RACK AND PINION); STEERING:RACK AND PINION,no,No,20210529
21V437000,other,220,"Karavan Trailers, Inc.",KARAVAN,MOVE I 1500 LONG,2021,2021,no,SUSPENSION:REAR:AXLE:SPINDLE,no,No,20210609
21V420000,other,220,"Bombardier Recreational Products, Inc.",SEA-DOO,MOVE I EXTENDED 1500,2021,2021,no,SUSPENSION:MULTIPLE AXLE; WHEELS,no,No,20210603
18V215000,other,218,Zero Motorcycles Inc.,ZERO,DSP; ZERO DS; ZERO S,2012,2012,yes,ELECTRICAL SYSTEM:12V/24V/48V BATTERY; HYBRID PROPULSION SYSTEM,no,No,20180404
25V118000,other,216,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,NINJA E-1; Z E-1,2024,2024,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,no,No,20250224
24V244000,light,215,"Kia America, Inc.",KIA,FORTE,2023,2023,no,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20240401
19V488000,light,211,Mazda Motor Corp.,MAZDA,RX-8,2010,2011,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20190624
23V472000,other,211,"Yamaha Motor Corporation, USA",YAMAHA,TENERE 700,2022,2022,no,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",no,No,20230710
16V406000,other,207,Thor Motor Coach,THOR MOTOR COACH,TUSCANY,2015,2016,yes,STEERING; SUSPENSION:FRONT,no,No,20160607
26V350000,other,205,Volvo Trucks North America,VOLVO,VAH; VHD; VN; VNL (4); VNR (4),2026,2027,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20260528
21V205000,other,184,WHITE RIVER MARINE GROUP LLC,RANGER TRAIL; TRAILSTAR,NZ18; NZ19; NZ20; NZ21; ZV20; ZV21,2021,2021,no,STRUCTURE:BODY,no,No,20210324
21V681000,other,177,Indian Motorcycle Company,INDIAN,SCOUT BOBBER SIXTY,2020,2020,no,ENGINE AND ENGINE COOLING:ENGINE:ENGINE CONTROL MODULE (ECU/ECM):SOFTWARE; EXTERIOR LIGHTING:BRAKE LIGHTS,no,No,20210902
26V010000,other,172,"Gulf Stream Coach, Inc.",GULF STREAM,AMERI-LITE; TRAIL BOSS,2026,2026,no,EXTERIOR LIGHTING:TURN SIGNAL,no,No,20260115
20V010000,other,148,"Genuine Scooters, LLC",GENUINE SCOOTER,ROYAL ALLOY,2020,2020,no,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC; SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:PADS",no,No,20200110
16V701000,other,143,"Gillig, LLC",GILLIG,LOW FLOOR,2016,2016,yes,POWER TRAIN:AXLE ASSEMBLY,no,No,20160929
17V629000,other,138,"Daimler Trucks North America, LLC",FREIGHTLINER,CASCADIA,2017,2018,no,STEERING,no,No,20171006
22V369000,other,128,"International Motors, LLC",IC BUS,1300 FBC; CE; RE,2022,2023,no,STEERING: STEERING WHEEL/HANDLE BAR,no,No,20220523
24V578000,other,127,"Doosan Bobcat North America, Inc.",DOOSAN,PORTABLE AIR COMPRESSOR,2023,2023,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20240802
26V057000,other,109,"Grand Design RV, LLC",GRAND DESIGN,LINEAGE,2026,2026,no,EQUIPMENT:RECREATIONAL VEHICLE/TRAILER:PLUMBING:FREEZE PREVENTION HEATER,no,Yes,20260130
18V016000,light,84,Mazda Motor Corp.,MAZDA,B-SERIES TRUCK,2009,2009,yes,AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE,yes,No,20180109
20V723000,other,84,"Kawasaki Motors Corp., U.S.A.",KAWASAKI,ZX1400J,2021,2021,no,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:MASTER CYLINDER",no,No,20201120
16V156000,other,75,"Mack Trucks, Inc.",MACK,TITAN (TD),2016,2017,no,STEERING,no,No,20160316
23V746000,other,74,"Mack Trucks, Inc.",MACK,MD,2024,2024,no,STEERING:CRITICAL FASTENERS,no,No,20231107
18V554000,light,71,"Volvo Car USA, LLC",VOLVO,XC40,2019,2019,no,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",no,No,20180822
23V800000,light,66,Ford Motor Company,FORD,MUSTANG,2024,2024,no,"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",no,No,20231128
26V289000,light,66,"General Motors, LLC",CADILLAC; CHEVROLET; GMC,ESCALADE; ESCALADE ESV; SIERRA 1500; SILVERADO 1500; SUBURBAN; SUBURBAN 1500; TAHOE; YUKON; YUKON XL,2015,2026,no,POWER TRAIN:TRANSFER CASE (4-WHEEL DRIVE),no,No,20260507
23V550000,other,65,Lakota Corporation (Lakota Trailers),LAKOTA,BIGHORN; CHARGER,2020,2024,no,SUSPENSION:MULTIPLE AXLE,no,No,20230803
24V328000,other,52,Nova Bus (US) Inc.,NOVA BUS,LFS,2022,2023,no,"FUEL SYSTEM, DIESEL:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",no,No,20240510
23V713000,other,47,"Mack Trucks, Inc.",MACK,LR,2024,2024,no,STEERING,no,No,20231024
17V772000,other,45,"MV Agusta Motorcycles North America, Inc",MV AGUSTA,BRUTALE 800 DRAGSTER RR,2017,2017,no,WHEELS:RIM,no,No,20171201
14V816000,light,39,"Porsche Cars North America, Inc.",PORSCHE,918,2015,2015,yes,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20141223
16V697000,other,39,"Eldorado National- California, Inc.",ELDORADO,AXESS,2016,2016,yes,POWER TRAIN:AXLE ASSEMBLY,no,No,20160927
16V678000,other,38,"New Flyer of America, Inc.",NEW FLYER,XN40; XN60,2016,2016,yes,"FUEL SYSTEM, OTHER",no,No,20160920
22V629000,other,38,"Genuine Scooters, LLC",GENUINE SCOOTER,NIU MQIGT EVO,2022,2022,no,STEERING: STEERING WHEEL/HANDLE BAR,no,No,20220817
22V597000,other,38,"Genuine Scooters, LLC",GENUINE SCOOTER,NIU MQIGT EVO,2022,2022,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM,no,No,20220808
25V342000,other,34,"Battle Motors, Inc.",BATTLE MOTORS,LET2,2024,2025,no,STEERING: STEERING WHEEL/HANDLE BAR; STEERING:CRITICAL FASTENERS,no,No,20250602
26V517000,other,31,Isuzu Motors Limited,ISUZU,NPR HD,2025,2025,no,STRUCTURE:BODY:HATCHBACK/LIFTGATE:HINGE AND ATTACHMENTS,no,No,20260806
24V385000,other,28,Vicinity Motor Corporation,VICINITY,VI33; VI35,2017,2022,no,"FUEL SYSTEM, OTHER",no,No,20240530
25V835000,light,27,"Volkswagen Group of America, Inc.",VOLKSWAGEN,ATLAS; ATLAS CROSS SPORT; ID.4,2026,2026,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20251203
24V447000,other,24,"Mack Trucks, Inc.",MACK,MD (ELECTRIC),2024,2024,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM: CABLES:FASTENER/CONNECTOR,no,No,20240616
24V399000,other,24,"Mack Trucks, Inc.",MACK,MD (ELECTRIC),2024,2024,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:MANAGEMENT SYSTEM/ENERGY CONTROL MODULE (BMS/BECM):SOFTWARE,no,No,20240604
24V544000,other,24,"Doosan Bobcat North America, Inc.",DOOSAN PORTABLE POWER,MOBILE GENERATOR,2024,2024,no,WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20240719
24V178000,other,23,Prevost Car (US) Inc.,PREVOST,H3-45; H3-45 VIP,2022,2023,no,STEERING:COLUMN,no,No,20240306
18V458000,other,22,"MV Agusta Motorcycles North America, Inc",MV AGUSTA,BRUTALE 800 DRAGSTER RC; F3 800; F3 800 RC,2018,2018,no,SUSPENSION:FRONT,no,No,20180710
25V724000,other,18,"Wartech Engineering, LLC",WARTECH,SPECIALCONTAINER,2022,2025,no,"SERVICE BRAKES, AIR:SUPPLY:HOSES, LINES/PIPING, AND FITTINGS",no,No,20251023
24V941000,light,17,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,E 350; E 350 4MATIC; E 450 4MATIC; E 450 4MATIC ALL-TERRAIN,2025,2025,no,POWER TRAIN:AXLE ASSEMBLY; SUSPENSION:REAR,no,No,20241218
15V593000,other,16,"Yamaha Motor Corporation, USA",YAMAHA,YZF-R3,2015,2015,yes,STEERING: STEERING WHEEL/HANDLE BAR,no,No,20150923
25V571000,other,16,Orange EV,ORANGE EV,HUSK-E,2024,2025,no,POWER TRAIN:DRIVELINE:DRIVESHAFT,no,No,20250903
23V758000,light,13,Ford Motor Company,FORD,F-350 SD; F-450 SD; F-550 SD; F-600 SD,2022,2023,no,POWER TRAIN:AXLE HUBS; WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20231109
22V194000,light,12,"Mercedes-Benz USA, LLC",MERCEDES-BENZ,S 500; S 580,2022,2022,no,POWER TRAIN:AXLE ASSEMBLY; SUSPENSION:SUBFRAME/MOUNTING BRACKET,no,No,20220328
22V915000,other,11,"Braun Industries, Inc.",DEMERS,MXP153E,2022,2022,no,STRUCTURE:BODY,no,No,20221211
21V224000,light,10,"Porsche Cars North America, Inc.",PORSCHE,MACAN,2021,2021,no,SUSPENSION:FRONT:SHOCK ABSORBER; SUSPENSION:REAR:SHOCK ABSORBER,no,No,20210331
25V832000,other,10,Virnig Manufacturing Inc.,VIRNIG,TR-HDD-1414; TR-RHDD-1409,2025,2025,no,SUSPENSION:FRONT:WHEEL BEARING; WHEELS:LUGS/NUTS/BOLTS/STUDS,no,No,20251201
24V783000,light,9,Rimac D.O.O.,RIMAC,NEVERA,2023,2024,no,ELECTRICAL SYSTEM:PROPULSION SYSTEM: CABLES,no,No,20241018
15V174000,other,8,Pierce Manufacturing,PIERCE,ENFORCER; IMPEL; SABER; VELOCITY,2015,2015,yes,SUSPENSION:REAR:SPRINGS:LEAF SPRING ASSEMBLY,no,No,20150325
19V879000,light,8,"Volkswagen Group of America, Inc.",VOLKSWAGEN,GOLF; GOLF ALLTRACK; JETTA,2019,2019,no,WHEELS,no,No,20191211
24V083000,other,8,Volvo Bus Corporation,VOLVO BUS,9700,2024,2024,no,STEERING,no,No,20240208
22V692000,other,7,"Corp. Micro Bird, Inc.",MICRO BIRD,G5 TRANSIT BUS,2018,2019,no,ELECTRICAL SYSTEM,no,No,20220915
24V424000,other,7,"Mack Trucks, Inc.",MACK,ANTHEM (AN); PIONEER PR (4),2025,2025,no,POWER TRAIN:AXLE ASSEMBLY; STEERING:LINKAGES:TIE ROD ASSEMBLY,no,No,20240609
25V716000,light,6,"Ferrari North America, Inc.",FERRARI,296 GTB; 296 GTS,2025,2025,no,"ENGINE AND ENGINE COOLING:ENGINE:OIL/LUBRICATION:PIPES, HOSES, AND FITTINGS; ENGINE AND ENGINE COOLING:ENGINE:OTHER FUEL TYPES:TURBO/SUPERCHARGER",no,No,20251021
22V924000,other,4,Easymile Inc.,EASYMILE,EZ10,2018,2019,no,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,no,No,20221213
24V810000,light,4,"Ferrari North America, Inc.",FERRARI,F8 SPIDER; PORTOFINO M; ROMA SPIDER,2023,2024,no,POWER TRAIN:DRIVELINE:DRIVESHAFT,no,No,20241028
24V423000,other,3,Volvo Trucks North America,VOLVO,VN,2025,2025,no,STEERING:LINKAGES:TIE ROD ASSEMBLY,no,No,20240609
25V308000,light,3,Ford Motor Company,FORD,BRONCO,2024,2025,no,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20250509
16V411000,other,2,"Forest River, Inc.",GLAVAL BUS,SYNERGY,2015,2015,yes,STEERING,no,No,20160608
25V260000,light,2,Ford Motor Company,FORD,BRONCO,2025,2025,no,SUSPENSION:FRONT:CONTROL ARM:UPPER BALL JOINT,no,No,20250418
25V331000,other,2,Hyundai Translead,HYUNDAI TRANSLEAD,DRY VAN TRAILER,2026,2026,no,STRUCTURE:BODY:HATCHBACK/LIFTGATE,no,No,20250610
22V198000,light,1,Bugatti,BUGATTI,CHIRON,2018,2018,no,STRUCTURE:FRAME AND MEMBERS,no,No,20220328
25V290000,other,1,Prevost Car (US) Inc.,PREVOST,X3-45 VIP ENTERTAINER,2025,2025,no,SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,no,No,20250505
