make,model,stall_complaints,total_complaints,stall_share
CHEVROLET,SONIC,105,951,0.1104
CHEVROLET,VENTURE,104,2326,0.0447
MERCEDES BENZ,ML320,104,741,0.1404
KIA,SEPHIA,103,1701,0.0606
GMC,SIERRA 2500,101,1781,0.0567
MITSUBISHI,GALANT,100,1777,0.0563
SUBARU,CROSSTREK,100,1165,0.0858
PONTIAC,SUNFIRE,99,1143,0.0866
MERCURY,MYSTIQUE,96,1018,0.0943
CHRYSLER,LHS,96,964,0.0996
OLDSMOBILE,BRAVADA,95,964,0.0985
KIA,SELTOS,95,538,0.1766
MITSUBISHI,OUTLANDER,94,1308,0.0719
AUDI,Q7,94,1028,0.0914
JEEP,WAGONEER,93,421,0.2209
LEXUS,RX HYBRID,93,340,0.2735
SATURN,OUTLOOK,93,1352,0.0688
NISSAN,JUKE,93,477,0.1950
OLDSMOBILE,88,91,925,0.0984
CADILLAC,SEVILLE,91,797,0.1142
LEXUS,RX300,91,720,0.1264
BMW,535I,91,490,0.1857
CHEVROLET,MALIBU MAXX,91,1070,0.0850
CADILLAC,ESCALADE ESV,91,515,0.1767
CHEVROLET,AVALANCHE,90,1945,0.0463
SCION,XB,90,1046,0.0860
OLDSMOBILE,INTRIGUE,89,1140,0.0781
PLYMOUTH,NEON,88,1370,0.0642
LEXUS,RX,88,934,0.0942
MERCEDES-BENZ,E350,88,2161,0.0407
LEXUS,GS300,87,334,0.2605
CHEVROLET,CAPRICE,86,699,0.1230
SUZUKI,GRAND VITARA,86,635,0.1354
INFINITI,I35,86,200,0.4300
LEXUS,IS 250,85,718,0.1184
TOYOTA,YARIS,85,807,0.1053
CHEVROLET,TRAX,85,939,0.0905
MERCEDES-BENZ,CLA250,84,347,0.2421
CHEVROLET,SUBURBAN 1500,83,1426,0.0582
LINCOLN,MKZ,83,1649,0.0503
MERCURY,MONTEREY,82,453,0.1810
NISSAN,LEAF,82,1092,0.0751
JEEP,GLADIATOR,82,979,0.0838
MITSUBISHI,OUTLANDER SPORT,81,474,0.1709
VOLVO,S40,80,487,0.1643
CHEVROLET,SPARK,80,502,0.1594
FISKER,OCEAN,80,883,0.0906
INFINITI,QX60,79,574,0.1376
FORD,F-550 SD,78,455,0.1714
LEXUS,ES330,78,227,0.3436
CHEVROLET,SILVERADO 3500,77,1041,0.0740
FORD,F-450 SD,77,446,0.1726
JEEP,PATRIOT 4X4,77,402,0.1915
LAND ROVER,RANGE ROVER,76,966,0.0787
LAND ROVER,DISCOVERY,76,539,0.1410
CHRYSLER,SEBRING CONVERTIBLE,76,730,0.1041
VOLKSWAGEN,TOUAREG,76,641,0.1186
HONDA,CIVIC HYBRID,76,396,0.1919
HYUNDAI,SANTA CRUZ,76,311,0.2444
KIA,EV6,76,532,0.1429
MERCEDES BENZ,C230,75,654,0.1147
MAZDA,CX-7,75,1129,0.0664
MERCURY,MARINER HYBRID,75,212,0.3538
TOYOTA,VENZA,74,453,0.1634
FORD,500,74,204,0.3627
BUICK,ENCORE,74,595,0.1244
HYUNDAI,TUCSON HYBRID,74,343,0.2157
MAZDA,MPV,73,928,0.0787
CADILLAC,STS,73,429,0.1702
FORD,TRANSIT,73,770,0.0948
MAZDA,PROTEGE,72,1066,0.0675
CADILLAC,CATERA,72,462,0.1558
KIA,OPTIMA HYBRID,72,273,0.2637
GMC,SONOMA,71,1344,0.0528
BMW,325I,71,1375,0.0516
FORD,MUSTANG GT,70,689,0.1016
JEEP,WRANGLER 2-DR 4X4,70,764,0.0916
FIAT,500,70,807,0.0867
JAGUAR,S-TYPE,69,481,0.1435
HYUNDAI,XG350,69,273,0.2527
JAGUAR,XF,69,394,0.1751
INFINITI,Q50,69,484,0.1426
VOLKSWAGEN,TAOS,69,473,0.1459
HYUNDAI,SANTA FE HYBRID,69,241,0.2863
GMC,SUBURBAN,68,1775,0.0383
