# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
MERCEDES-BENZ,E 450,2019-2022,43,3,6.98,1,3,0,1,33.3,42,2,4.76
MERCEDES-BENZ,EQS 450+,2022-2022,8,3,37.5,3,2,0,1,33.3,7,2,28.57
MERCEDES-BENZ,GL450,2015-2017,32,3,9.38,2,1,0,0,0.0,32,3,9.38
MERCEDES-BENZ,GLC,2015-2018,19,3,15.79,3,2,0,2,66.7,14,1,7.14
MINI,COOPER S,2015-2022,43,3,6.98,3,2,0,1,33.3,40,2,5.0
NISSAN,370Z,2015-2019,14,3,21.43,3,3,0,2,66.7,10,1,10.0
NISSAN,NV,2015-2021,44,3,6.82,2,2,0,0,0.0,41,3,7.32
NISSAN,NV200,2015-2021,26,3,11.54,3,2,0,2,66.7,14,1,7.14
NISSAN,REDUNDANT NV200,2015-2017,20,3,15.0,1,3,0,3,100.0,9,0,0.0
POLESTAR,POLESTAR 2,2021-2022,452,3,0.66,3,0,0,0,0.0,449,3,0.67
PORSCHE,PANAMERA,2015-2022,29,3,10.34,3,2,0,1,33.3,27,2,7.41
RAM,4500,2015-2022,34,3,8.82,3,1,0,1,33.3,33,2,6.06
TOYOTA,LAND CRUISER,2015-2021,15,3,20.0,2,1,0,2,66.7,8,1,12.5
TOYOTA,SIENNA HYBRID,2021-2022,61,3,4.92,1,3,0,1,33.3,45,2,4.44
VOLVO,V60,2015-2021,49,3,6.12,2,2,0,1,33.3,48,2,4.17
VOLVO,V90CC,2017-2022,18,3,16.67,1,3,0,1,33.3,15,2,13.33
WESTERN STAR,4700,2017-2021,5,3,60.0,2,1,1,1,33.3,4,2,50.0
WINNEBAGO,MICRO MINNIE,2018-2022,11,3,27.27,0,3,0,0,0.0,11,3,27.27
ALLIANCE RV,VALOR,2021-2022,4,2,50.0,0,2,0,0,0.0,4,2,50.0
AUDI,A7,2015-2021,75,2,2.67,1,2,0,1,50.0,67,1,1.49
AUDI,Q4 E-TRON SPORTBACK,2022-2022,5,2,40.0,2,1,0,0,0.0,5,2,40.0
AUDI,Q5 SPORTBACK,2022-2022,23,2,8.7,1,2,0,1,50.0,22,1,4.55
BMW,328XI,2015-2016,18,2,11.11,1,2,0,0,0.0,18,2,11.11
BMW,330E,2016-2022,23,2,8.7,1,2,0,0,0.0,23,2,8.7
BMW,640I,2015-2019,12,2,16.67,2,1,0,0,0.0,12,2,16.67
BMW,740I,2015-2021,31,2,6.45,1,1,0,0,0.0,31,2,6.45
CADILLAC,XT4,2019-2022,53,2,3.77,2,0,0,0,0.0,51,2,3.92
CHEVROLET,CAPTIVA,2015-2015,14,2,14.29,1,2,0,1,50.0,12,1,8.33
CHEVROLET,CHEVEROLET SS,2015-2017,52,2,3.85,1,1,0,1,50.0,47,1,2.13
CHEVROLET,SPARK EV,2015-2016,21,2,9.52,2,1,0,1,50.0,17,1,5.88
CHRYSLER,VOYAGER,2020-2022,33,2,6.06,2,1,0,0,0.0,32,2,6.25
ENTEGRA,ASPIRE,2015-2021,21,2,9.52,2,0,0,0,0.0,21,2,9.52
FERRARI,488 GTB,2016-2019,9,2,22.22,2,2,0,0,0.0,6,2,33.33
FLEETWOOD,BOUNDER,2015-2022,25,2,8.0,1,1,0,0,0.0,25,2,8.0
FOREST RIVER,AVENGER,2017-2021,5,2,40.0,1,1,0,0,0.0,5,2,40.0
FOREST RIVER,CHEROKEE,2015-2022,129,2,1.55,2,0,0,0,0.0,129,2,1.55
FOREST RIVER,FLAGSTAFF,2015-2022,38,2,5.26,1,2,0,0,0.0,38,2,5.26
FOREST RIVER,SHASTA,2015-2017,49,2,4.08,0,2,0,0,0.0,49,2,4.08
FOREST RIVER,VENGEANCE,2015-2022,26,2,7.69,0,2,0,0,0.0,26,2,7.69
FOREST RIVER,WILDWOOD,2015-2022,52,2,3.85,0,2,0,0,0.0,52,2,3.85
GMC,SAVANA,2015-2022,26,2,7.69,2,0,0,0,0.0,24,2,8.33
HARLEY-DAVIDSON,FLHTK,2015-2022,40,2,5.0,2,2,0,0,0.0,40,2,5.0
HARLEY-DAVIDSON,FLRT,2015-2020,13,2,15.38,1,2,0,0,0.0,13,2,15.38
HARLEY-DAVIDSON,XG750A,2017-2018,5,2,40.0,2,2,0,0,0.0,5,2,40.0
HARLEY-DAVIDSON,XL883N,2016-2021,7,2,28.57,2,2,0,0,0.0,7,2,28.57
HONDA,CLARITY ELECTRIC,2017-2020,31,2,6.45,2,0,0,1,50.0,30,1,3.33
HONDA,CRF1000D,2016-2018,10,2,20.0,1,2,0,0,0.0,10,2,20.0
HONDA,CRF1100,2021-2022,11,2,18.18,2,0,0,0,0.0,11,2,18.18
HYUNDAI,SANTA FE HYBRID,2021-2022,57,2,3.51,2,0,0,0,0.0,56,2,3.57
HYUNDAI,SANTA FE PLUG-IN HYBRID,2022-2022,27,2,7.41,2,0,0,1,50.0,26,1,3.85
INDIAN,CHIEFTAIN,2015-2019,9,2,22.22,2,2,0,0,0.0,9,2,22.22
INFINITI,Q40,2015-2015,8,2,25.0,1,1,0,0,0.0,5,2,40.0
INFINITI,Q70,2015-2019,18,2,11.11,1,1,0,1,50.0,15,1,6.67
INTERNATIONAL,LT,2018-2022,11,2,18.18,1,2,0,0,0.0,11,2,18.18
ISUZU,NPR,2015-2020,5,2,40.0,2,0,0,0,0.0,5,2,40.0
JAGUAR,XF,2015-2022,33,2,6.06,2,1,0,1,50.0,30,1,3.33
JAYCO,GREYHAWK,2015-2021,11,2,18.18,0,2,0,0,0.0,11,2,18.18
KENWORTH,T880,2016-2021,7,2,28.57,2,0,0,0,0.0,7,2,28.57
KENWORTH,W900,2021-2022,3,2,66.67,2,1,0,0,0.0,3,2,66.67
KEYSTONE,KEYSTONE,2016-2021,33,2,6.06,0,2,0,0,0.0,33,2,6.06
KIA,K900,2015-2019,68,2,2.94,1,1,0,0,0.0,52,2,3.85
KTM,790 ADVENTURE R,2019-2022,44,2,4.55,1,1,0,0,0.0,44,2,4.55
LEXUS,GS 350,2015-2018,23,2,8.7,2,1,0,1,50.0,22,1,4.55
LEXUS,GX,2015-2022,33,2,6.06,2,1,0,1,50.0,31,1,3.23
LEXUS,NX HYBRID,2015-2022,8,2,25.0,2,0,0,1,50.0,7,1,14.29
LEXUS,NX200,2015-2017,14,2,14.29,1,2,0,0,0.0,14,2,14.29
LEXUS,NX300,2018-2020,25,2,8.0,2,2,0,2,100.0,23,0,0.0
LEXUS,UX HYBRID,2019-2022,8,2,25.0,2,0,0,0,0.0,8,2,25.0
LINCOLN,MKZ HYBRID,2015-2020,39,2,5.13,2,2,0,0,0.0,38,2,5.26
MASERATI,LEVANTE,2017-2022,27,2,7.41,2,1,0,0,0.0,27,2,7.41
MERCEDES-BENZ,AMG E53,2019-2022,16,2,12.5,2,1,0,0,0.0,16,2,12.5
MERCEDES-BENZ,AMG EQS,2022-2022,4,2,50.0,1,1,0,0,0.0,3,2,66.67
MERCEDES-BENZ,AMG S63,2015-2020,10,2,20.0,2,1,0,0,0.0,9,2,22.22
MERCEDES-BENZ,C250,2015-2016,13,2,15.38,2,2,0,2,100.0,4,0,0.0
MERCEDES-BENZ,E 350,2020-2022,29,2,6.9,0,2,0,0,0.0,29,2,6.9
MERCEDES-BENZ,E63,2015-2015,2,2,100.0,2,1,1,1,50.0,1,1,100.0
MERCEDES-BENZ,EQS 450,2022-2022,26,2,7.69,2,1,0,1,50.0,25,1,4.0
MERCEDES-BENZ,GLE550E,2016-2017,4,2,50.0,2,0,0,0,0.0,4,2,50.0
MERCEDES-BENZ,GLS 450 4MATIC,2022-2022,14,2,14.29,2,0,0,0,0.0,14,2,14.29
MERCEDES-BENZ,GLS580,2021-2021,5,2,40.0,1,2,0,1,50.0,4,1,25.0
MERCEDES-BENZ,METRIS,2015-2022,209,2,0.96,1,1,0,0,0.0,206,2,0.97
MERCEDES-BENZ,ML250,2015-2015,10,2,20.0,2,2,0,1,50.0,9,1,11.11
MERCEDES-BENZ,S550 4MATIC,2015-2017,19,2,10.53,2,1,0,1,50.0,17,1,5.88
MERCEDES-BENZ,SPRINTER 1500,2016-2022,26,2,7.69,2,0,0,0,0.0,25,2,8.0
PETERBILT,389,2015-2022,16,2,12.5,1,0,1,0,0.0,16,2,12.5
POLARIS,SPORTSMAN 1000XP,2015-2015,16,2,12.5,0,2,0,0,0.0,16,2,12.5
PORSCHE,MACAN S,2015-2020,20,2,10.0,2,2,0,1,50.0,12,1,8.33
RAM,PROMASTER CITY,2015-2022,100,2,2.0,2,1,0,1,50.0,99,1,1.01
RIVIAN,R1S,2022-2022,6,2,33.33,2,2,0,1,50.0,3,1,33.33
SCION,XB,2015-2015,6,2,33.33,2,1,0,1,50.0,5,1,20.0
SONDORS,METACYCLE,2021-2021,9,2,22.22,2,2,0,0,0.0,9,2,22.22
SUBARU,BRZ,2015-2022,27,2,7.41,2,0,0,0,0.0,25,2,8.0
SUZUKI,GSX-R1000,2015-2021,8,2,25.0,2,2,0,0,0.0,8,2,25.0
THOR MOTOR COACH,OUTLAW,2015-2022,21,2,9.52,1,1,0,0,0.0,21,2,9.52
TOYOTA,86,2017-2020,14,2,14.29,2,1,0,0,0.0,13,2,15.38
TOYOTA,AVALON HYBRID,2015-2021,22,2,9.09,2,1,0,2,100.0,15,0,0.0
TOYOTA,GR86,2022-2022,21,2,9.52,1,1,0,0,0.0,21,2,9.52
TOYOTA,HIGHLANDER HYBRID,2015-2022,54,2,3.7,1,1,0,0,0.0,42,2,4.76
TRIUMPH,SPEED TRIPLE RR,2022-2022,2,2,100.0,2,2,0,0,0.0,2,2,100.0
VOLKSWAGEN,CC,2015-2017,60,2,3.33,2,2,0,1,50.0,40,1,2.5
VOLKSWAGEN,E-GOLF,2015-2019,53,2,3.77,0,2,0,0,0.0,53,2,3.77
VOLVO,S80,2015-2016,13,2,15.38,1,1,0,1,50.0,12,1,8.33
VOLVO,S90,2017-2022,32,2,6.25,2,1,0,0,0.0,31,2,6.45
WINNEBAGO,TRAVATO,2015-2022,23,2,8.7,1,1,0,0,0.0,23,2,8.7
ACURA,MDX TYPE S,2022-2022,23,1,4.35,1,1,0,0,0.0,23,1,4.35
ACURA,NSX,2017-2021,7,1,14.29,1,0,0,1,100.0,6,0,0.0
ACURA,RLX,2015-2020,27,1,3.7,1,1,0,1,100.0,26,0,0.0
AIRSTREAM,INTERNATIONAL,2015-2020,4,1,25.0,1,0,0,0,0.0,4,1,25.0
APRILIA,RS 660,2021-2022,6,1,16.67,1,1,0,0,0.0,6,1,16.67
APRILIA,SHIVER 750,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
AUDI,A3 CABRIOLET,2015-2019,164,1,0.61,1,0,0,0,0.0,87,1,1.15
AUDI,A6 ALLROAD,2020-2022,19,1,5.26,0,1,0,0,0.0,19,1,5.26
AUDI,ALLROAD,2015-2018,7,1,14.29,1,0,0,0,0.0,5,1,20.0
AUDI,Q4 E-TRON,2022-2022,2,1,50.0,1,0,0,0,0.0,2,1,50.0
AUDI,Q5 E,2020-2022,41,1,2.44,0,1,0,0,0.0,41,1,2.44
AUDI,R8,2015-2020,3,1,33.33,1,1,1,1,100.0,2,0,0.0
AUDI,S3,2015-2022,86,1,1.16,1,1,0,1,100.0,37,0,0.0
AUDI,S6,2015-2022,39,1,2.56,1,0,0,0,0.0,39,1,2.56
AUDI,S7,2015-2021,27,1,3.7,0,1,0,0,0.0,27,1,3.7
BENTLEY,BENTAYGA,2017-2021,12,1,8.33,1,1,0,1,100.0,9,0,0.0
BENTLEY,CONTINENTAL GT,2015-2021,4,1,25.0,1,0,0,0,0.0,4,1,25.0
BIG TEX,25GN,2015-2015,2,1,50.0,1,1,1,0,0.0,2,1,50.0
BLUE BIRD,CONVENTIONAL,2017-2018,3,1,33.33,1,1,1,0,0.0,3,1,33.33
BMW,340I,2016-2018,14,1,7.14,1,1,0,1,100.0,13,0,0.0
BMW,428XI,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
BMW,435I,2015-2016,26,1,3.85,1,1,0,1,100.0,23,0,0.0
BMW,535I,2015-2016,35,1,2.86,1,0,0,1,100.0,25,0,0.0
BMW,750I,2016-2021,19,1,5.26,0,1,0,0,0.0,18,1,5.56
BMW,750LXI,2016-2016,1,1,100.0,1,0,0,0,0.0,1,1,100.0
BMW,850I,2019-2019,7,1,14.29,1,0,0,1,100.0,4,0,0.0
BMW,F800 GS,2015-2015,2,1,50.0,1,1,0,0,0.0,2,1,50.0
BMW,G310R,2018-2019,6,1,16.67,1,0,0,0,0.0,6,1,16.67
BMW,K 1600 GT,2015-2019,12,1,8.33,0,1,0,0,0.0,12,1,8.33
BMW,M4,2015-2022,46,1,2.17,0,1,0,0,0.0,46,1,2.17
BMW,M440I,2021-2021,4,1,25.0,1,1,0,0,0.0,4,1,25.0
BMW,M8,2020-2020,4,1,25.0,1,1,0,0,0.0,4,1,25.0
BMW,S 1000 RR,2015-2022,14,1,7.14,0,1,0,0,0.0,14,1,7.14
BUBBLE BUDDY,BUBBLE BUDDY,2021-2021,1,1,100.0,1,0,0,0,0.0,1,1,100.0
BUICK,CASCADA,2016-2019,52,1,1.92,1,1,0,1,100.0,51,0,0.0
CADILLAC,CT4,2020-2022,21,1,4.76,1,1,0,1,100.0,19,0,0.0
CADILLAC,ESCALADE NA,2021-2021,17,1,5.88,1,0,0,1,100.0,16,0,0.0
CADILLAC,XT6,2020-2022,69,1,1.45,1,1,0,0,0.0,68,1,1.47
CAN-AM,DEFENDER,2016-2016,1,1,100.0,1,0,0,0,0.0,1,1,100.0
CAN-AM,SPYDER F3-S,2015-2015,3,1,33.33,1,0,0,0,0.0,3,1,33.33
CFMOTO,CF700,2022-2022,10,1,10.0,1,1,0,0,0.0,10,1,10.0
CHEVROLET,3500,2016-2022,16,1,6.25,1,0,0,0,0.0,16,1,6.25
CHEVROLET,BOLT EUV,2022-2022,26,1,3.85,1,0,0,0,0.0,24,1,4.17
CHEVROLET,CITY EXPRESS,2015-2018,11,1,9.09,1,1,0,1,100.0,5,0,0.0
CHEVROLET,LOW CAB FORWARD 3500,2016-2016,2,1,50.0,1,0,0,0,0.0,2,1,50.0
CHEVROLET,ONIX,2021-2021,1,1,100.0,1,1,0,1,100.0,0,0,
CHEVROLET,S10,2016-2018,5,1,20.0,0,1,0,0,0.0,5,1,20.0
CHEVROLET,TAHOE POLICE PURSUIT,2015-2016,5,1,20.0,1,0,0,0,0.0,4,1,25.0
CHONGQING HUANSONG,750,2015-2016,83,1,1.2,1,1,0,0,0.0,83,1,1.2
CHRYSLER,300 AWD,2020-2020,1,1,100.0,1,1,0,1,100.0,0,0,
COACHMEN,CLIPPER,2016-2022,5,1,20.0,1,0,0,0,0.0,5,1,20.0
DUCATI,PANIGALE R,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
DUTCHMEN,ASPEN TRAIL,2015-2022,3,1,33.33,0,1,0,0,0.0,3,1,33.33
DUTCHMEN,VOLTAGE,2015-2022,6,1,16.67,1,0,0,0,0.0,6,1,16.67
ESCAPE,ESCAPE,2019-2020,3,1,33.33,0,1,0,0,0.0,3,1,33.33
EZ LOADER,T102,2019-2021,4,1,25.0,1,0,0,0,0.0,4,1,25.0
FIAT,124 SPIDER,2017-2020,65,1,1.54,1,0,0,0,0.0,35,1,2.86
FIAT,500E,2015-2016,15,1,6.67,1,1,0,1,100.0,14,0,0.0
FLEETWOOD,FORTIS,2020-2022,6,1,16.67,1,0,0,0,0.0,6,1,16.67
FLEETWOOD,PACE ARROW,2017-2019,7,1,14.29,1,0,0,0,0.0,7,1,14.29
FLEETWOOD,SOUTHWIND,2016-2022,5,1,20.0,1,0,0,0,0.0,5,1,20.0
FORD,E-150,2015-2021,17,1,5.88,0,1,0,0,0.0,17,1,5.88
FORD,ECONOLINE,2016-2019,7,1,14.29,1,1,0,0,0.0,7,1,14.29
FORD,F-53,2015-2022,64,1,1.56,0,1,0,0,0.0,64,1,1.56
FORD,F53,2018-2021,29,1,3.45,0,1,0,0,0.0,29,1,3.45
FORD,FOCUS ELECTRIC,2015-2017,24,1,4.17,1,1,0,0,0.0,24,1,4.17
FORD,POLICE INTERCEPTOR UTILIT,2015-2017,9,1,11.11,1,1,0,1,100.0,8,0,0.0
FOREST RIVER,AMERA-LITE,2016-2017,6,1,16.67,1,0,0,0,0.0,6,1,16.67
FOREST RIVER,BERKSHIRE,2015-2021,16,1,6.25,0,1,0,0,0.0,16,1,6.25
FOREST RIVER,CEDAR CREEK,2017-2022,24,1,4.17,1,0,0,0,0.0,24,1,4.17
FOREST RIVER,CLIPPER CAMPING TRAILER,2016-2021,4,1,25.0,0,1,0,0,0.0,4,1,25.0
FOREST RIVER,GEORGETOWN,2015-2022,38,1,2.63,0,1,0,0,0.0,38,1,2.63
FOREST RIVER,OZARK,2020-2022,4,1,25.0,1,0,0,0,0.0,4,1,25.0
FOREST RIVER,PUMA,2015-2022,26,1,3.85,0,1,1,0,0.0,26,1,3.85
FOREST RIVER,R-POD,2015-2022,48,1,2.08,1,0,0,0,0.0,48,1,2.08
FOREST RIVER,SANDPIPER,2015-2021,14,1,7.14,1,0,0,0,0.0,14,1,7.14
FOREST RIVER,XLR TOYHAULER,2016-2022,24,1,4.17,0,1,0,0,0.0,24,1,4.17
FREIGHTLINER,1085D,2017-2017,1,1,100.0,1,0,0,0,0.0,1,1,100.0
FREIGHTLINER,BUSINESS CLASS M2,2015-2022,17,1,5.88,1,0,1,0,0.0,17,1,5.88
FREIGHTLINER,M2,2015-2022,15,1,6.67,1,0,0,0,0.0,15,1,6.67
FREIGHTLINER,SPRINTER 2500,2015-2022,17,1,5.88,1,0,0,0,0.0,17,1,5.88
FREIGHTLINER,SPRINTER 3500,2016-2021,4,1,25.0,1,0,0,0,0.0,4,1,25.0
GMC,DENALI,2015-2015,18,1,5.56,1,1,0,0,0.0,18,1,5.56
GMC,SIERRA HD,2015-2015,5,1,20.0,1,1,0,1,100.0,4,0,0.0
GRAND DESIGN,MOMENTUM,2015-2022,166,1,0.6,1,0,0,0,0.0,166,1,0.6
GREAT DANE,REEFER,2017-2017,1,1,100.0,0,1,0,0,0.0,1,1,100.0
HARLEY-DAVIDSON,FLDE,2017-2020,10,1,10.0,0,1,0,0,0.0,10,1,10.0
HARLEY-DAVIDSON,FLFB,2018-2018,3,1,33.33,1,1,0,0,0.0,3,1,33.33
HARLEY-DAVIDSON,FLHR,2015-2020,13,1,7.69,1,1,0,0,0.0,13,1,7.69
HARLEY-DAVIDSON,FLHTKSE,2015-2018,9,1,11.11,1,1,0,0,0.0,9,1,11.11
HARLEY-DAVIDSON,FLHXI,2015-2015,1,1,100.0,1,0,0,0,0.0,1,1,100.0
HARLEY-DAVIDSON,FLHXSE,2015-2020,10,1,10.0,1,0,0,0,0.0,10,1,10.0
HARLEY-DAVIDSON,FLS,2017-2017,1,1,100.0,0,1,0,0,0.0,1,1,100.0
HARLEY-DAVIDSON,FLSL,2019-2019,1,1,100.0,0,1,0,0,0.0,1,1,100.0
HARLEY-DAVIDSON,FLSS,2016-2017,3,1,33.33,1,1,0,0,0.0,3,1,33.33
HARLEY-DAVIDSON,FLSTN,2017-2017,1,1,100.0,1,1,0,0,0.0,1,1,100.0
HARLEY-DAVIDSON,FXDLS,2016-2017,4,1,25.0,1,1,0,0,0.0,4,1,25.0
HARLEY-DAVIDSON,FXFBS,2018-2019,9,1,11.11,1,1,0,0,0.0,9,1,11.11
HARLEY-DAVIDSON,FXLRS,2020-2021,5,1,20.0,0,0,1,0,0.0,5,1,20.0
HARLEY-DAVIDSON,FXSB,2016-2018,4,1,25.0,1,0,0,0,0.0,4,1,25.0
HARLEY-DAVIDSON,XL1200CX,2016-2017,2,1,50.0,0,1,0,0,0.0,2,1,50.0
HEARTLAND,MALLARD,2017-2021,15,1,6.67,1,0,0,0,0.0,15,1,6.67
HME,RAM 5500,2019-2019,1,1,100.0,1,0,0,0,0.0,1,1,100.0
HOLIDAY RAMBLER,ENDEAVOR,2017-2018,7,1,14.29,0,1,0,0,0.0,7,1,14.29
HONDA,ADV150,2022-2022,1,1,100.0,0,1,0,0,0.0,1,1,100.0
HONDA,CB300F,2015-2016,9,1,11.11,0,1,0,0,0.0,9,1,11.11
HONDA,CBR1000RR,2017-2018,4,1,25.0,1,0,1,0,0.0,4,1,25.0
HONDA,CBR300R,2015-2018,11,1,9.09,1,1,0,0,0.0,11,1,9.09
HONDA,CIVIC SI,2015-2022,94,1,1.06,1,1,0,1,100.0,89,0,0.0
HONDA,CLARITY,2021-2021,3,1,33.33,1,0,0,0,0.0,3,1,33.33
HONDA,CR-Z,2015-2016,7,1,14.29,1,1,0,0,0.0,5,1,20.0
HONDA,CRF1000A,2017-2018,17,1,5.88,1,0,0,0,0.0,17,1,5.88
HONDA,CRF1100D4,2020-2020,14,1,7.14,1,0,0,0,0.0,14,1,7.14
HONDA,CRF250L,2016-2018,2,1,50.0,1,1,0,0,0.0,2,1,50.0
HONDA,CROSSTOUR,2015-2015,26,1,3.85,1,1,0,1,100.0,24,0,0.0
HONDA,CTX700,2015-2015,4,1,25.0,1,1,0,0,0.0,4,1,25.0
HONDA,NAVI,2022-2022,2,1,50.0,1,0,0,0,0.0,2,1,50.0
HONDA,VT1300,2015-2015,1,1,100.0,1,1,0,0,0.0,1,1,100.0
HYUNDAI,ELANTRA GT,2015-2020,102,1,0.98,0,1,0,0,0.0,102,1,0.98
HYUNDAI,EQUUS,2015-2016,18,1,5.56,0,1,0,0,0.0,17,1,5.88
HYUNDAI,GENESIS COUPE,2015-2016,23,1,4.35,1,1,0,1,100.0,21,0,0.0
HYUNDAI,SANTA FE XL,2019-2019,25,1,4.0,1,0,0,0,0.0,25,1,4.0
HYUNDAI,VELOSTER N,2019-2022,60,1,1.67,1,0,1,0,0.0,60,1,1.67
HYUNDAI TRANSLEAD,VAN TRAILER,2015-2016,3,1,33.33,1,1,0,0,0.0,3,1,33.33
ICE CASTLE,FISH HOUSE,2020-2020,1,1,100.0,1,0,0,0,0.0,1,1,100.0
ICEBEAR,PST300-19,2016-2016,1,1,100.0,1,1,0,0,0.0,1,1,100.0
ICON EV,I20,2021-2021,1,1,100.0,0,1,0,0,0.0,1,1,100.0
INDIAN,CHIEF DARK HORSE,2016-2022,6,1,16.67,1,1,0,0,0.0,6,1,16.67
INDIAN,CHIEF VINTAGE,2015-2018,7,1,14.29,1,0,0,0,0.0,7,1,14.29
INDIAN,ROADMASTER,2015-2022,21,1,4.76,1,0,0,0,0.0,21,1,4.76
INDIAN,SCOUT BOBBER,2018-2022,9,1,11.11,1,1,0,0,0.0,9,1,11.11
INDIAN,SPRINGFIELD,2016-2019,5,1,20.0,0,1,0,0,0.0,5,1,20.0
INFINITI,Q50 HYBRID,2015-2015,4,1,25.0,1,1,0,0,0.0,4,1,25.0
INFINITI,QX70,2015-2017,16,1,6.25,1,1,0,1,100.0,13,0,0.0
INNOVATIVE SPECIALTIES,INNOVATIVE SPECIALTIES,2022-2022,1,1,100.0,1,0,0,0,0.0,1,1,100.0
INTERNATIONAL,DURASTAR,2017-2017,1,1,100.0,1,1,0,1,100.0,0,0,
INTERNATIONAL,LF687,2016-2017,4,1,25.0,1,0,1,0,0.0,4,1,25.0
INTERNATIONAL,MV,2019-2021,3,1,33.33,0,0,1,0,0.0,3,1,33.33
INTERNATIONAL,WORKSTAR,2016-2016,1,1,100.0,1,0,0,0,0.0,1,1,100.0
INTERNATIONAL MOTORS,CHEVY SILVERADO MEDIUM DUTY,2019-2020,3,1,33.33,1,1,0,0,0.0,3,1,33.33
IRONBULL,DDG22,2018-2018,1,1,100.0,1,0,0,0,0.0,1,1,100.0
IRONBULL,NORSTAR TRAILER,2018-2018,1,1,100.0,1,1,0,0,0.0,1,1,100.0
ISUZU,NRR,2017-2017,1,1,100.0,1,0,1,1,100.0,0,0,
JAGUAR,E-PACE,2018-2022,24,1,4.17,1,1,0,0,0.0,24,1,4.17
JAGUAR,F-TYPE,2015-2020,32,1,3.12,1,1,0,0,0.0,31,1,3.23
JAYCO,PRECEPT,2015-2022,42,1,2.38,0,1,0,0,0.0,42,1,2.38
JAYCO FIFTH WHEEL,EAGLE,2015-2022,19,1,5.26,1,1,0,0,0.0,19,1,5.26
JAYCO FIFTH WHEEL,PINNACLE,2015-2020,27,1,3.7,1,0,0,0,0.0,27,1,3.7
JAYCO TRAVEL TRAILER,HUMMINGBIRD,2018-2018,1,1,100.0,1,0,0,0,0.0,1,1,100.0
JAYCO TRAVEL TRAILER,JAY FEATHER,2016-2022,14,1,7.14,1,0,0,0,0.0,14,1,7.14
JAYCO TRAVEL TRAILER,WHITE HAWK,2015-2022,25,1,4.0,0,1,0,0,0.0,25,1,4.0
JEEP,GRAND WAGONEER,2022-2022,58,1,1.72,1,1,0,1,100.0,55,0,0.0
KAWASAKI,KLX230,2020-2022,2,1,50.0,1,0,0,0,0.0,2,1,50.0
KAWASAKI,NINJA 400,2021-2022,2,1,50.0,1,0,0,0,0.0,2,1,50.0
KAWASAKI,VULCAN 900,2015-2021,4,1,25.0,1,0,0,0,0.0,4,1,25.0
KENWORTH,T270,2015-2015,1,1,100.0,1,0,1,0,0.0,1,1,100.0
KENWORTH,T800,2016-2018,2,1,50.0,1,1,0,0,0.0,2,1,50.0
KEYSTONE,ALPINE,2015-2022,33,1,3.03,1,0,0,0,0.0,33,1,3.03
KEYSTONE,FUZION,2015-2022,15,1,6.67,1,0,0,0,0.0,15,1,6.67
KEYSTONE,HIDEOUT,2018-2022,9,1,11.11,1,0,0,0,0.0,9,1,11.11
KEYSTONE,IMPACT,2015-2020,2,1,50.0,0,1,0,0,0.0,2,1,50.0
KEYSTONE,MONTANA,2015-2022,40,1,2.5,0,1,0,0,0.0,40,1,2.5
KIA,NIRO HYBRID,2017-2017,19,1,5.26,0,1,0,0,0.0,19,1,5.26
KIA,NIRO PHEV,2018-2022,57,1,1.75,1,0,0,1,100.0,56,0,0.0
KIA,OPTIMA HYBRID,2015-2020,45,1,2.22,1,1,0,1,100.0,44,0,0.0
KIA,OPTIMA PHEV,2017-2020,33,1,3.03,1,0,0,0,0.0,31,1,3.23
KIA,SORENTO PHEV,2022-2022,22,1,4.55,1,0,0,0,0.0,22,1,4.55
KTM,1290 SUPER DUKE R,2015-2021,16,1,6.25,1,1,1,0,0.0,16,1,6.25
KZRV,DURANGO,2016-2022,6,1,16.67,0,1,0,0,0.0,6,1,16.67
LAND ROVER,RANGE ROVER PHEV,2019-2019,1,1,100.0,1,0,0,1,100.0,0,0,
LEXUS,CT HYBRID,2015-2017,7,1,14.29,1,0,0,1,100.0,6,0,0.0
LEXUS,GS,2015-2019,12,1,8.33,1,1,0,0,0.0,12,1,8.33
LEXUS,GS HYBRID,2015-2017,2,1,50.0,1,0,0,0,0.0,2,1,50.0
