# Zilocar analysis of NHTSA ODI complaints (FLAT_CMPL.txt, Last-Modified 2026-09-09 10:22 UTC, retrieved 2026-09-10).
# Universe: PROD_TYPE='V', model years 2015-2022, deduplicated on ODINO = 325,275 distinct complaints across 2,228 make/model labels.
# severe = CRASH='Y' OR INJURED>0 OR DEATHS>0, all self-reported and unverified.
# REVERSAL COLUMN: airbag-cited complaints are 4.9% of all complaints but 30.4% of severe ones, because an airbag complaint is near-definitionally crash-linked.
# severe_share_ex_airbag_pct removes every complaint citing AIR BAGS. Under it the Toyota Corolla falls from 1st (18.2%) to 5th (8.5%) and the Tesla Model X leads at 13.0%.
# Labels are exactly as NHTSA spells them, unmerged. Counts are distinct complaints, not vehicles or owners. No sales denominator exists in this file.
make,model,model_years,complaints,severe,severe_share_pct,crash_reports,injury_reports,death_reports,severe_citing_airbags,airbag_pct_of_severe,complaints_ex_airbag,severe_ex_airbag,severe_share_ex_airbag_pct
VOLVO,XC40,2019-2022,130,14,10.77,10,9,0,3,21.4,124,11,8.87
BMW,530I,2017-2022,93,13,13.98,10,9,0,3,23.1,71,10,14.08
BUICK,ENVISION,2016-2022,194,13,6.7,8,7,0,4,30.8,182,9,4.95
FORD,TRANSIT CONNECT,2015-2022,317,13,4.1,9,7,0,3,23.1,309,10,3.24
HYUNDAI,SONATA HYBRID,2015-2022,364,13,3.57,12,7,0,3,23.1,359,10,2.79
INFINITI,QX50,2015-2022,262,13,4.96,10,9,0,1,7.7,254,12,4.72
KIA,EV6,2022-2022,275,13,4.73,11,4,1,2,15.4,272,11,4.04
MERCEDES-BENZ,GLE 350,2018-2022,213,13,6.1,12,7,1,2,15.4,208,11,5.29
AUDI,A4,2015-2022,282,12,4.26,10,5,0,2,16.7,261,10,3.83
BMW,320I,2015-2018,88,12,13.64,12,7,0,8,66.7,76,4,5.26
CHEVROLET,CORVETTE,2015-2022,686,12,1.75,10,10,0,7,58.3,677,5,0.74
CHEVROLET,TRAILBLAZER,2021-2022,300,12,4.0,10,7,0,2,16.7,296,10,3.38
CHRYSLER,PACIFICA PLUG-IN HYBRID,2017-2022,546,12,2.2,9,5,0,0,0.0,545,12,2.2
FORD,ESCAPE HYBRID,2020-2022,474,12,2.53,6,8,0,2,16.7,469,10,2.13
GMC,SIERRA 3500,2015-2022,192,12,6.25,10,5,0,3,25.0,184,9,4.89
HONDA,CLARITY PLUG-IN HYBRID,2017-2021,185,12,6.49,12,4,1,3,25.0,180,9,5.0
MERCEDES-BENZ,GLC300,2016-2017,231,12,5.19,12,7,0,5,41.7,209,7,3.35
MERCEDES-BENZ,ML350,2015-2015,52,12,23.08,10,3,0,2,16.7,49,10,20.41
MITSUBISHI,MIRAGE G4,2017-2022,43,12,27.91,12,11,1,8,66.7,29,4,13.79
TOYOTA,PRIUS V,2015-2018,53,12,22.64,12,4,0,5,41.7,47,7,14.89
TOYOTA,RAV4 HYBRID,2016-2022,107,12,11.21,11,5,0,3,25.0,84,9,10.71
BUICK,LACROSSE,2015-2019,144,11,7.64,10,6,0,9,81.8,129,2,1.55
CHEVROLET,SILVERADO 3500,2015-2022,264,11,4.17,10,4,0,4,36.4,257,7,2.72
FIAT,500,2015-2018,124,11,8.87,9,6,0,3,27.3,119,8,6.72
LAND ROVER,RANGE ROVER EVOQUE,2015-2022,262,11,4.2,10,5,0,4,36.4,251,7,2.79
LINCOLN,MKX,2015-2018,255,11,4.31,9,4,0,2,18.2,251,9,3.59
MERCEDES-BENZ,SPRINTER 3500,2015-2022,176,11,6.25,8,5,0,2,18.2,155,9,5.81
AUDI,A4 ALLROAD,2015-2021,114,10,8.77,8,5,0,5,50.0,92,5,5.43
BMW,430I,2017-2022,109,10,9.17,8,7,0,5,50.0,96,5,5.21
