level,rank_by_share_all_years,make,model,egress_complaints,total_complaints,share_pct_all_years,egress_2015_2026,total_2015_2026,share_pct_2015_2026,egress_2015_2024_pre_publicity,total_2015_2024,share_pct_2015_2024,egress_2025_2026,total_2025_2026,share_pct_2025_2026
model,15,FORD,EXPLORER SPORT,12,721,1.664,0,36,0.0,0,35,0.0,0,1,0.0
model,16,JEEP,COMMANDER,44,2743,1.604,8,1225,0.653,8,1211,0.661,0,14,0.0
model,17,TOYOTA,SIENNA,127,8432,1.506,29,3007,0.964,28,2865,0.977,1,142,0.704
model,18,BMW,330I,12,806,1.489,3,428,0.701,3,311,0.965,0,117,0.0
model,19,KIA,OPTIMA,110,7455,1.476,24,6109,0.393,23,5283,0.435,1,826,0.121
model,20,BMW,323I,8,559,1.431,0,74,0.0,0,74,0.0,0,0,0.0
model,21,BMW,328I,36,2565,1.404,15,2031,0.739,15,1824,0.822,0,207,0.0
model,22,GEO,PRIZM,8,597,1.34,0,3,0.0,0,2,0.0,0,1,0.0
model,23,BMW,528I,9,826,1.09,5,615,0.813,5,493,1.014,0,122,0.0
model,24,DODGE,GRAND CARAVAN,145,13359,1.085,123,6055,2.031,116,5756,2.015,7,299,2.341
model,25,KIA,SPECTRA,9,902,0.998,4,229,1.747,4,229,1.747,0,0,0.0
model,26,MERCEDES-BENZ,C300,22,2212,0.995,18,2137,0.842,17,2008,0.847,1,129,0.775
model,27,VOLVO,XC90,14,1490,0.94,12,781,1.536,7,572,1.224,5,209,2.392
model,28,LINCOLN,CONTINENTAL,12,1375,0.873,10,146,6.849,7,104,6.731,3,42,7.143
model,29,NISSAN,QUEST,18,2096,0.859,1,438,0.228,1,426,0.235,0,12,0.0
model,30,JEEP,GRAND CHEROKEE,231,28898,0.799,65,14073,0.462,64,12435,0.515,1,1638,0.061
model,31,TESLA,MODEL X,12,1524,0.787,12,1524,0.787,6,1259,0.477,6,265,2.264
model,32,SCION,XB,8,1046,0.765,4,499,0.802,4,487,0.821,0,12,0.0
model,33,BUICK,LACROSSE,16,2116,0.756,10,1380,0.725,9,1317,0.683,1,63,1.587
model,34,HYUNDAI,ELANTRA,64,8632,0.741,58,5720,1.014,55,5057,1.088,3,663,0.452
model,35,FORD,FUSION,160,22298,0.718,128,17964,0.713,128,16576,0.772,0,1388,0.0
model,36,TESLA,MODEL Y,26,4016,0.647,26,4016,0.647,10,2797,0.358,16,1219,1.313
model,37,CADILLAC,CTS,14,2199,0.637,8,1027,0.779,8,972,0.823,0,55,0.0
model,38,KIA,SORENTO,63,10085,0.625,57,8430,0.676,56,7224,0.775,1,1206,0.083
model,39,LINCOLN,MKZ,10,1644,0.608,9,1520,0.592,9,1369,0.657,0,151,0.0
model,40,MERCURY,MILAN,15,2511,0.597,6,1791,0.335,6,1764,0.34,0,27,0.0
model,41,SATURN,VUE,13,2347,0.554,4,675,0.593,4,664,0.602,0,11,0.0
model,42,HONDA,CR-V,82,15752,0.521,36,12505,0.288,33,10339,0.319,3,2166,0.139
model,43,HONDA,ODYSSEY,64,12382,0.517,30,5929,0.506,21,4103,0.512,9,1826,0.493
model,44,TESLA,MODEL 3,21,4245,0.495,21,4245,0.495,15,3415,0.439,6,830,0.723
model,45,CHEVROLET,COBALT,37,7672,0.482,9,2196,0.41,9,2165,0.416,0,31,0.0
model,46,LINCOLN,TOWN CAR,14,2968,0.472,0,298,0.0,0,294,0.0,0,4,0.0
model,47,NISSAN,PATHFINDER,33,7246,0.455,30,3403,0.882,29,3009,0.964,1,394,0.254
model,48,BMW,X5,14,3078,0.455,6,2392,0.251,6,1905,0.315,0,487,0.0
model,49,MAZDA,MAZDA6,10,2222,0.45,3,1583,0.19,3,1504,0.199,0,79,0.0
model,50,MINI,COOPER,10,2228,0.449,2,890,0.225,2,828,0.242,0,62,0.0
model,51,MERCURY,MOUNTAINEER,8,1912,0.418,1,209,0.478,1,205,0.488,0,4,0.0
model,52,CHRYSLER,TOWN AND COUNTRY,55,13445,0.409,39,6560,0.595,39,6406,0.609,0,154,0.0
model,53,TOYOTA,SEQUOIA,12,3045,0.394,3,1103,0.272,3,1071,0.28,0,32,0.0
model,54,CHEVROLET,MALIBU,73,19219,0.38,52,10205,0.51,48,9406,0.51,4,799,0.501
model,55,KIA,SEDONA,9,2384,0.378,5,1274,0.392,5,1090,0.459,0,184,0.0
model,56,VOLKSWAGEN,PASSAT,28,7802,0.359,17,3141,0.541,17,2929,0.58,0,212,0.0
model,57,TESLA,MODEL S,12,3372,0.356,12,3342,0.359,9,3058,0.294,3,284,1.056
model,58,NISSAN,ALTIMA,52,15399,0.338,42,9136,0.46,37,8586,0.431,5,550,0.909
model,59,NISSAN,MURANO,18,5933,0.303,9,2563,0.351,8,2403,0.333,1,160,0.625
model,60,HONDA,ACCORD,68,23864,0.285,20,11232,0.178,19,9119,0.208,1,2113,0.047
