make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
DODGE,STRATUS,283,230,3621,7.8
FORD,BRONCO SPORT,278,140,1978,14.1
MAZDA,CX-5,277,144,3269,8.5
MINI,COOPER,276,235,2862,9.6
FORD,MAVERICK HYBRID,274,104,1413,19.4
SATURN,OUTLOOK,273,242,1939,14.1
CHEVROLET,CAVALIER,271,209,6469,4.2
GMC,SIERRA,271,215,4904,5.5
BMW,323I,270,227,676,39.9
TOYOTA,4RUNNER,270,128,6499,4.2
KIA,SEPHIA,260,214,3091,8.4
ACURA,TLX,259,205,1341,19.3
FORD,F-350 SD,253,160,5142,4.9
SUBARU,IMPREZA,251,204,3458,7.3
HYUNDAI,IONIQ 5,248,39,2126,11.7
BUICK,LESABRE,247,196,4873,5.1
YAMAHA,ROAD STAR,246,201,326,75.5
MAZDA,MAZDA3,244,192,4006,6.1
SUBARU,SVX,244,185,379,64.4
MERCURY,MILAN,243,95,3220,7.5
PONTIAC,GRAND AM,243,186,8116,3.0
CHRYSLER,CONCORDE,239,207,3001,8.0
FORD,F-150 HYBRID,239,94,884,27.0
DODGE,MAGNUM,235,202,1580,14.9
MERCURY,MARINER,233,129,1722,13.5
FORD,THUNDERBIRD,232,193,3088,7.5
CHEVROLET,SONIC,231,182,1423,16.2
MITSUBISHI,ECLIPSE,231,169,2789,8.3
CADILLAC,SRX,229,126,4169,5.5
FORD,TRANSIT,225,92,1065,21.1
NISSAN,QUEST,225,179,2920,7.7
UNKNOWN,UNKNOWN,222,163,12870,1.7
MITSUBISHI,GALANT,221,146,2435,9.1
DODGE,CALIBER,220,141,2919,7.5
MERCURY,GRAND MARQUIS,219,181,4965,4.4
FORD,ECOSPORT,216,62,2449,8.8
MAZDA,TRIBUTE,216,149,2831,7.6
FORD,CROWN VICTORIA,213,165,4031,5.3
KIA,FORTE,213,122,3598,5.9
CHRYSLER,300C,212,164,1763,12.0
CHEVROLET,ASTRO,209,171,3777,5.5
FORD,F-350,208,160,3845,5.4
TOYOTA,AVALON,203,129,4262,4.8
HYUNDAI,ACCENT,200,161,2767,7.2
BUICK,REGAL,199,141,4466,4.5
VOLKSWAGEN,TIGUAN,198,88,3476,5.7
CHRYSLER,PT CRUISER,195,137,3426,5.7
MAZDA,MPV,194,183,1157,16.8
SATURN,ION,192,144,5471,3.5
MAZDA,MAZDA6,191,155,2937,6.5
HONDA,FIT,190,87,2743,6.9
MAZDA,RX-8,187,178,1004,18.6
CHEVROLET,HHR,185,135,4753,3.9
DODGE,CHALLENGER,185,117,2382,7.8
BMW,X3,182,64,2802,6.5
SUBARU,ASCENT,182,127,1331,13.7
AUDI,A4,181,139,3689,4.9
MITSUBISHI,OUTLANDER,178,134,1875,9.5
MITSUBISHI,OUTLANDER SPORT,178,128,737,24.2
GMC,SIERRA 2500,175,140,2284,7.7
HONDA,HR-V,174,152,2438,7.1
CHRYSLER,PACIFICA PLUG-IN HYBRID,172,101,1077,16.0
INFINITI,QX60,172,118,827,20.8
GMC,CANYON,171,130,1948,8.8
HONDA,PROLOGUE,171,6,1592,10.7
MITSUBISHI,3000GT,171,119,536,31.9
HONDA,RIDGELINE,170,124,2732,6.2
CHEVROLET,LUMINA,169,136,4023,4.2
KIA,TELLURIDE,168,66,2600,6.5
CADILLAC,ESCALADE,166,106,2313,7.2
MERCURY,COUGAR,164,139,2652,6.2
LINCOLN,NAVIGATOR,163,136,1797,9.1
BUICK,CENTURY,162,138,2397,6.8
SUBARU,WRX,162,148,1232,13.1
BMW,328I,160,59,3782,4.2
GMC,JIMMY,159,122,3791,4.2
MAZDA,CX-9,159,58,1827,8.7
PONTIAC,BONNEVILLE,159,125,2583,6.2
EAGLE,TALON,157,63,791,19.8
CHEVROLET,MONTE CARLO,154,122,2965,5.2
FORD,ESCAPE HYBRID,154,39,2267,6.8
CHEVROLET,VENTURE,152,125,3078,4.9
JEEP,GLADIATOR,151,83,1396,10.8
LINCOLN,CONTINENTAL,150,125,2575,5.8
LINCOLN,TOWN CAR,150,114,4352,3.4
FORD,FUSION HYBRID,149,76,1580,9.4
GMC,ENVOY,149,117,3282,4.5
ISUZU,RODEO,149,120,3314,4.5
TOYOTA,SEQUOIA,149,79,4813,3.1
HYUNDAI,PALISADE,147,53,3244,4.5
CHRYSLER,LHS,144,120,1434,10.0
TESLA,MODEL S,144,26,5284,2.7
HYUNDAI,TIBURON,142,134,1058,13.4
CADILLAC,DEVILLE,141,92,3663,3.8
HYUNDAI,VELOSTER,141,93,1768,8.0
VOLKSWAGEN,GOLF,141,110,2102,6.7
ACURA,RDX,140,75,2655,5.3
BMW,750LI,139,107,696,20.0
LINCOLN,MKX,138,74,1759,7.8
BUICK,LACROSSE,137,82,2921,4.7
MERCURY,MYSTIQUE,137,109,1514,9.0
MAZDA,PROTEGE,136,117,1380,9.9
TOYOTA,MATRIX,136,116,1422,9.6
HONDA,PASSPORT,135,108,2296,5.9
LEXUS,RX,131,104,1271,10.3
FIAT,500L,130,115,301,43.2
HYUNDAI,SANTA CRUZ,128,88,469,27.3
MITSUBISHI,LANCER,127,106,1139,11.2
AUDI,A3,126,98,945,13.3
FORD,BRONCO,126,84,2171,5.8
FORD,EXPLORER SPORT TRAC,125,116,935,13.4
LAND ROVER,FREELANDER,125,109,799,15.6
CHEVROLET,SPARK,124,98,759,16.3
CHRYSLER,CIRRUS,123,103,1232,10.0
LINCOLN,LS,123,100,1369,9.0
MERCEDES-BENZ,E350,122,86,2686,4.5
LEXUS,ES300,121,88,869,13.9
CHRYSLER,LEBARON,120,102,837,14.3
LAND ROVER,RANGE ROVER,120,69,1374,8.7
MERCEDES BENZ,C230,119,89,884,13.5
PONTIAC,VIBE,119,88,2135,5.6
HYUNDAI,GENESIS,115,71,1725,6.7
BMW,X1,114,80,954,11.9
SUBARU,CROSSTREK,114,65,1553,7.3
BMW,M3,113,95,556,20.3
CHEVROLET,SILVERADO 3500,113,93,1454,7.8
KIA,SEDONA,112,61,3411,3.3
CHEVROLET,AVEO,111,69,1930,5.8
CHRYSLER,NEW YORKER,111,94,1035,10.7
AUDI,A6,110,80,2209,5.0
PORSCHE,CAYENNE,110,46,702,15.7
FORD,MUSTANG MACH E,109,24,1236,8.8
MINI,COOPER S,109,65,2184,5.0
VOLKSWAGEN,ATLAS,108,64,2993,3.6
LINCOLN,AVIATOR,107,83,719,14.9
DODGE,DYNASTY,105,93,628,16.7
JEEP,COMMANDER 4X4,105,72,696,15.1
FORD,FLEX,104,52,2511,4.1
FORD,PROBE,104,91,1490,7.0
HONDA,CIVIC HYBRID,104,69,596,17.4
RAM,PROMASTER,104,73,915,11.4
NISSAN,350Z,103,93,815,12.6
SUZUKI,BOULEVARD M109R,103,100,146,70.5
AUDI,S4,102,89,721,14.1
BMW,528I,102,47,1239,8.2
VOLKSWAGEN,EOS,102,88,550,18.5
CADILLAC,ATS,100,64,557,18.0
EAGLE,VISION,100,84,681,14.7
DODGE,NITRO,99,45,1635,6.1
FORD,TRANSIT CONNECT,98,83,742,13.2
NISSAN,370Z,98,92,499,19.6
HONDA,PRELUDE,97,87,464,20.9
PLYMOUTH,NEON,97,81,2020,4.8
HYUNDAI,SONATA HYBRID,96,43,1162,8.3
KIA,EV6,96,22,845,11.4
BUICK,RENDEZVOUS,95,69,1799,5.3
CHEVROLET,TRAX,95,38,1446,6.6
HYUNDAI,KONA,95,51,1089,8.7
GMC,SUBURBAN,94,72,2329,4.0
LEXUS,RX330,94,73,659,14.3
LINCOLN,MKZ,94,62,2025,4.6
VOLVO,V70,94,78,1181,8.0
NISSAN,VERSA NOTE,93,70,400,23.2
OLDSMOBILE,CUTLASS,93,81,2253,4.1
PONTIAC,MONTANA,93,79,1455,6.4
YAMAHA,ROAD STAR WARRIOR,93,57,125,74.4
DODGE,STEALTH,92,73,300,30.7
OLDSMOBILE,BRAVADA,92,59,1350,6.8
TESLA,MODEL Y,92,22,7376,1.2
JAGUAR,S-TYPE,91,83,678,13.4
MERCURY,VILLAGER,91,74,2223,4.1
BUICK,PARK AVENUE,90,67,1886,4.8
FISKER,OCEAN,90,30,1838,4.9
HYUNDAI,SANTA FE SPORT,90,22,1559,5.8
NISSAN,ARMADA,90,66,2540,3.5
TESLA,MODEL 3,90,21,7587,1.2
CADILLAC,ESCALADE ESV,88,42,759,11.6
GMC,SIERRA 3500,87,70,769,11.3
KIA,RIO,87,55,1818,4.8
SUZUKI,VZR1800,87,87,173,50.3
CHEVROLET,BOLT EV,86,40,1361,6.3
MERCURY,MONTEGO,86,71,360,23.9
CHRYSLER,300M,84,71,1148,7.3
KIA,SPECTRA,84,71,1219,6.9
VOLKSWAGEN,R32,84,75,152,55.3
AUDI,Q5,83,35,1860,4.5
CHEVROLET,TRAILBLAZER EXT,83,74,1070,7.8
FORD,EXPLORER SPORT,82,70,939,8.7
INFINITI,G35,82,57,1862,4.4
JEEP,WRANGLER 4-DR 4X4,82,69,1812,4.5
KIA,SELTOS,82,44,768,10.7
MAZDA,CX-7,82,20,1546,5.3
VOLVO,S60,82,63,1681,4.9
CHEVROLET,AVALANCHE,80,66,2474,3.2
INFINITI,JX35,80,67,361,22.2
JAGUAR,X-TYPE,80,66,472,16.9
KIA,NIRO,80,34,503,15.9
PLYMOUTH,BREEZE,80,69,872,9.2
VOLKSWAGEN,CC,79,58,1359,5.8
VOLVO,S80,79,60,1322,6.0
FORD,FOCUS ELECTRIC,78,18,312,25.0
INFINITI,Q50,78,49,740,10.5
MITSUBISHI,LANCER EVOLUTION,78,25,314,24.8
FORD,MAVERICK,76,26,466,16.3
OLDSMOBILE,88,76,58,1228,6.2
OLDSMOBILE,ALERO,76,55,2939,2.6
PONTIAC,TRANS SPORT,76,63,1277,6.0
BUICK,ENCORE,75,22,905,8.3
GMC,SAFARI,75,66,1541,4.9
NISSAN,JUKE,75,41,659,11.4
LAND ROVER,LR2,74,15,236,31.4
GMC,SONOMA,73,54,1743,4.2
VICTORY,V92,73,69,83,88.0
JEEP,LAREDO,72,57,790,9.1
MERCEDES-BENZ,C300,72,23,2856,2.5
OLDSMOBILE,SILHOUETTE,72,60,1287,5.6
VOLKSWAGEN,JETTA HYBRID,72,64,138,52.2
SMART,FORTWO,71,62,475,14.9
VOLKSWAGEN,TOUAREG,71,42,945,7.5
CHEVROLET,SUBURBAN 1500,70,51,1753,4.0
FORD,C-MAX,70,52,458,15.3
MERCEDES BENZ,ML350,70,49,651,10.8
VOLKSWAGEN,ROUTAN,70,50,1249,5.6
FORD,E-150,69,54,1311,5.3
JEEP,WRANGLER 2-DR 4X4,69,54,951,7.3
SAAB,9-3,68,49,1692,4.0
VOLVO,XC70,68,60,516,13.2
SUZUKI,RENO,67,62,261,25.7
CHRYSLER,SEBRING CONVERTIBLE,66,55,987,6.7
LAND ROVER,RANGE ROVER EVOQUE,66,41,575,11.5
LEXUS,RX350,65,36,1065,6.1
VOLKSWAGEN,ID.4,65,20,1781,3.6
VOLKSWAGEN,TAOS,65,15,764,8.5
VOLVO,850,65,54,732,8.9
BMW,3 SERIES,64,40,1157,5.5
YAMAHA,ROAD STAR SILVERADO,64,49,80,80.0
BMW,325I,63,50,1811,3.5
DODGE,SPIRIT,63,52,603,10.4
SATURN,LS,63,29,1885,3.3
BMW,K1200LT,62,26,213,29.1
FORD,TEMPO,62,48,1655,3.7
HYUNDAI,EXCEL,62,61,429,14.5
MERCEDES BENZ,E320,62,49,1516,4.1
NISSAN,KICKS,62,43,878,7.1
PONTIAC,SUNFIRE,62,49,1643,3.8
CHEVROLET,EXPRESS,61,46,856,7.1
FORD,E-350,61,48,1361,4.5
LEXUS,ES 330,61,53,188,32.4
JEEP,WAGONEER,60,32,782,7.7
FORD,500,59,40,303,19.5
HONDA,GL1800,59,43,780,7.6
ISUZU,TROOPER,59,54,718,8.2
NISSAN,LEAF,59,11,1499,3.9
OLDSMOBILE,INTRIGUE,59,50,1608,3.7
CADILLAC,XT5,58,39,442,13.1
HYUNDAI,SANTA FE HYBRID,58,21,451,12.9
MITSUBISHI,MIRAGE,58,49,942,6.2
TOYOTA,FJ CRUISER,58,32,1219,4.8
KIA,K5,57,29,748,7.6
LEXUS,ES,57,34,862,6.6
TOYOTA,GRAND HIGHLANDER,57,17,439,13.0
VOLVO,V70XC,57,53,524,10.9
LINCOLN,NAUTILUS,56,41,309,18.1
MITSUBISHI,DIAMANTE,56,49,657,8.5
OLDSMOBILE,AURORA,56,48,1038,5.4
TOYOTA,CAMRY SOLARA,56,28,1108,5.1
BMW,X3 SAV,55,39,343,16.0
FIAT,500X,55,45,319,17.2
MERCEDES-BENZ,SPRINTER 2500,55,26,596,9.2
CHEVROLET,AVALANCHE 1500,54,40,1115,4.8
LEXUS,ES330,54,37,282,19.1
VICTORY,V92C,54,50,75,72.0
AUDI,Q7,53,23,1405,3.8
TESLA,MODEL X,53,10,2401,2.2
BUICK,VERANO,52,34,670,7.8
SAAB,900,52,46,552,9.4
SUBARU,XV CROSSTREK,52,32,368,14.1
HONDA,ACCORD HYBRID,51,11,1191,4.3
LAND ROVER,DISCOVERY,51,28,785,6.5
NISSAN,ROGUE SPORT,51,36,498,10.2
AUDI,Q8,50,13,310,16.1
CHEVROLET,C1500,50,45,969,5.2
FORD,EXCURSION,50,34,1389,3.6
JEEP,PATRIOT 4X4,50,39,602,8.3
MERCEDES BENZ,ML320,50,36,1089,4.6
PLYMOUTH,ACCLAIM,50,40,538,9.3
NISSAN,CUBE,49,43,302,16.2
LINCOLN,MKC,48,27,729,6.6
BMW,750I,47,35,239,19.7
BUICK,ENCORE GX,47,44,325,14.5
GENESIS,GV70,47,15,375,12.5
AUDI,TT,46,43,418,11.0
BMW,335I,46,25,1136,4.0
HONDA,ELEMENT,46,32,1533,3.0
