make,model,transmission_complaints,narrative_confirmed_complaints,total_complaints,transmission_share_pct
ACURA,ACURA,23,19,131,17.6
ACURA,ILX,23,11,360,6.4
BMW,545I,23,20,198,11.6
BUICK,ROADMASTER,23,21,453,5.1
CHEVROLET,TRACKER,23,15,588,3.9
CHRYSLER,ASPEN,23,10,288,8.0
CHRYSLER,FIFTH AVENUE,23,20,221,10.4
INFINITI,M37,23,13,117,19.7
LEXUS,RX HYBRID,23,7,474,4.9
MAZDA,MAZDA5,23,17,535,4.3
PORSCHE,CAYENNE S,23,9,135,17.0
AUDI,E-TRON,22,9,226,9.7
BMW,540I,22,12,340,6.5
BUICK,RAINIER,22,12,525,4.2
CADILLAC,CT5,22,20,139,15.8
CHEVROLET,MALIBU HYBRID,22,12,150,14.7
CHRYSLER,CHRYSLER,22,17,328,6.7
CHRYSLER,SEBRING CONV,22,15,308,7.1
CHRYSLER,VOYAGER,22,21,324,6.8
JEEP,WRANGLER 4XE,22,12,400,5.5
MAZDA,MX-5 MIATA,22,18,391,5.6
MERCEDES-BENZ,GLE 350,22,15,339,6.5
MERCEDES-BENZ,GLK350,22,18,1046,2.1
SUZUKI,SUZUKI MOTORCYCLE,22,21,121,18.2
BMW,328D,21,6,275,7.6
CADILLAC,XT6,21,12,143,14.7
CHEVROLET,LUMINA APV,21,17,598,3.5
DODGE,NITRO 4X4,21,15,342,6.1
HONDA,HONDA,21,19,205,10.2
KIA,SPORTAGE HYBRID,21,6,231,9.1
MAZDA,CX-50,21,6,214,9.8
MERCEDES BENZ,C300,21,9,1788,1.2
MERCEDES BENZ,GL450,21,17,273,7.7
MITSUBISHI,ENDEAVOR,21,17,381,5.5
PORSCHE,PANAMERA,21,12,163,12.9
TOYOTA,PRIUS V,21,5,649,3.2
VOLVO,XC60,21,10,950,2.2
BMW,K1600B,20,5,63,31.7
DODGE,VAN,20,18,256,7.8
FIRESTONE,FIRESTONE,20,13,5314,0.4
GMC,YUKON XL 1500,20,10,407,4.9
HYUNDAI,ELANTRA HYBRID,20,10,229,8.7
INFINITI,QX60 HYBRID,20,16,57,35.1
JEEP,COMMANDER 4X2,20,12,217,9.2
LAND ROVER,DEFENDER,20,12,393,5.1
LEXUS,IS 250,20,10,938,2.1
MERCEDES-BENZ,R350,20,10,307,6.5
PONTIAC,G5,20,14,510,3.9
SATURN,SW,20,17,274,7.3
SCION,XB,20,14,1291,1.5
SUZUKI,SX4,20,12,427,4.7
VOLKSWAGEN,ATLAS CROSS SPORT,20,10,783,2.6
CHEVROLET,PICKUP,19,13,593,3.2
DODGE,NITRO 4X2,19,11,150,12.7
GOODYEAR,GOODYEAR,19,7,1462,1.3
HONDA,ACCORD CROSSTOUR,19,5,127,15.0
HUMMER,H2,19,14,429,4.4
HYUNDAI,XG350,19,12,365,5.2
KIA,CARNIVAL,19,6,539,3.5
KIA,CARNIVAL HYBRID,19,4,140,13.6
KIA,NIRO EV,19,10,143,13.3
LAND ROVER,DISCOVERY II,19,13,281,6.8
MERCEDES BENZ,E CLASS,19,16,413,4.6
MITSUBISHI,LANCER EVO,19,8,49,38.8
PLYMOUTH,LASER,19,13,149,12.8
PLYMOUTH,SUNDANCE,19,16,410,4.6
POLARIS,SLINGSHOT,19,6,138,13.8
PONTIAC,TORRENT,19,9,922,2.1
SATURN,ASTRA,19,18,194,9.8
SATURN,SC,19,16,379,5.0
VOLVO,S70,19,14,782,2.4
YAMAHA,STRATOLINER,19,19,29,65.5
CHEVROLET,C SERIES(LIGHT),18,16,183,9.8
CHRYSLER,CROSSFIRE,18,16,517,3.5
DODGE,DODGE,18,11,262,6.9
FORD,C-MAX ENERGI,18,9,181,9.9
FORD,F-450,18,7,165,10.9
FORD,F250,18,15,506,3.6
FORD,REDUNDANT C-MAX HYBRID,18,12,196,9.2
FORD,ZX2 (ESCORT),18,15,95,18.9
GENESIS,G80,18,11,303,5.9
HARLEY-DAVIDSON,FLHXS,18,10,56,32.1
HYUNDAI,IONIQ 6,18,4,185,9.7
JEEP,COMPASS 4X4,18,12,327,5.5
JEEP,GRAND WAGONEER,18,12,353,5.1
KIA,BORREGO,18,17,145,12.4
MERCEDES BENZ,300,18,9,289,6.2
PORSCHE,BOXSTER,18,12,221,8.1
SUZUKI,KIZASHI,18,13,114,15.8
SUZUKI,SIDEKICK,18,14,299,6.0
TESLA,CYBERTRUCK,18,1,309,5.8
TOYOTA,LAND CRUISER,18,11,373,4.8
YAMAHA,XVS650,18,13,45,40.0
ALFA ROMEO,STELVIO,17,6,344,4.9
AUDI,A4 ALLROAD,17,11,338,5.0
BMW,535XI,17,7,223,7.6
BMW,Z3,17,8,300,5.7
BMW,Z4,17,13,1447,1.2
CADILLAC,XT4,17,15,168,10.1
CAN-AM,SPYDER F3,17,2,43,39.5
CHEVROLET,G20,17,15,355,4.8
FORD,F-53,17,9,166,10.2
HYUNDAI,SCOUPE,17,16,103,16.5
INTERNATIONAL,SCHOOL BUS,17,17,21,81.0
JEEP,WAGONEER S,17,6,163,10.4
JEEP,WRANGLER SAHARA,17,14,207,8.2
KENWORTH,T680,17,9,112,15.2
LUCID,AIR,17,3,123,13.8
MERCEDES-BENZ,E300,17,14,185,9.2
OLDSMOBILE,CUTLASS SUPREME,17,12,389,4.4
PONTIAC,G8,17,11,278,6.1
PONTIAC,GTO,17,15,786,2.2
TOYOTA,ECHO,17,17,262,6.5
VOLKSWAGEN,NEW BEETLE,17,15,262,6.5
YAMAHA,XV19,17,17,46,37.0
AUDI,A5,16,6,443,3.6
AUDI,A7,16,8,217,7.4
AUDI,S6,16,7,193,8.3
BMW,320I,16,5,248,6.5
BMW,325,16,11,294,5.4
BMW,325CI,16,12,289,5.5
BMW,I4,16,6,135,11.9
BMW,R 1200 GS,16,3,114,14.0
CADILLAC,DTS,16,7,729,2.2
GEO,TRACKER,16,13,453,3.5
JAGUAR,XK8,16,14,149,10.7
LEXUS,LS400,16,5,424,3.8
LEXUS,NX,16,8,335,4.8
LINCOLN,MKT,16,6,395,4.1
MAZDA,CX-30,16,10,381,4.2
MERCEDES BENZ,320,16,11,341,4.7
MERCEDES BENZ,S500,16,13,277,5.8
TOYOTA,PICKUP,16,13,518,3.1
VOLKSWAGEN,RABBIT,16,10,267,6.0
VOLVO,770,16,15,309,5.2
YAMAHA,XV1900,16,16,42,38.1
ALFA ROMEO,GIULIA,15,4,432,3.5
CHEVROLET,K1500,15,12,452,3.3
CHEVROLET,VAN,15,13,276,5.4
CHRYSLER,300 AWD,15,13,126,11.9
CHRYSLER,ASPEN 4X4,15,7,202,7.4
HARLEY-DAVIDSON,FLHTCUTG,15,6,107,14.0
INFINITI,FX35,15,9,578,2.6
INFINITI,I30,15,11,345,4.3
JAGUAR,I-PACE,15,5,325,4.6
KAWASAKI,NINJA 300,15,15,77,19.5
LINCOLN,CORSAIR,15,10,246,6.1
MAZDA,929,15,13,216,6.9
MERCEDES BENZ,S430,15,13,287,5.2
MERCEDES BENZ,S550,15,12,108,13.9
MERCEDES-BENZ,GL450,15,9,281,5.3
MICHELIN,MICHELIN,15,8,821,1.8
PORSCHE,MACAN,15,7,305,4.9
RAM,PROMASTER 2500,15,10,52,28.8
SAAB,9-5,15,10,662,2.3
SUZUKI,XL7,15,5,332,4.5
TOYOTA,VENZA HYBRID,15,4,389,3.9
TRIUMPH,ROCKET III,15,14,39,38.5
VOLVO,C70,15,13,258,5.8
VOLVO,XC40,15,5,326,4.6
YAMAHA,V-STAR,15,6,21,71.4
BMW,7 SERIES,14,11,148,9.5
BMW,M4,14,3,63,22.2
CHEVROLET,CHEVROLET,14,11,255,5.5
DAEWOO,LEGANZA,14,13,541,2.6
DODGE,CHARGER EV,14,4,130,10.8
DODGE,COLT,14,13,333,4.2
DODGE,DAYTONA,14,14,166,8.4
DODGE,RAM PICKUP,14,13,183,7.7
FORD,ESCAPE PHEV,14,3,159,8.8
GENESIS,G70,14,7,202,6.9
GENESIS,GV60,14,4,113,12.4
GMC,DENALI,14,12,219,6.4
GMC,GMC,14,11,247,5.7
HONDA,S2000,14,14,132,10.6
JAGUAR,F-PACE,14,5,203,6.9
JAGUAR,XJ,14,12,183,7.7
KIA,RONDO,14,9,446,3.1
MERCEDES BENZ,190,14,9,121,11.6
MERCEDES BENZ,SL500,14,11,312,4.5
MINI,COOPER CONVERTIBLE,14,12,216,6.5
MINI,COOPER S CLUBMAN,14,3,120,11.7
MINI,COOPER S CONVERTIBLE,14,12,181,7.7
TOYOTA,MR2,14,10,67,20.9
VOLKSWAGEN,GOLF SPORTWAGEN,14,8,246,5.7
YAMAHA,ROAD STAR LIMITED EDITION,14,10,15,93.3
YAMAHA,XVS11,14,9,41,34.1
YAMAHA,XVS65,14,9,26,53.8
AUDI,100,13,9,122,10.7
BMW,135I,13,10,199,6.5
CHEVROLET,C3500,13,13,206,6.3
CHRYSLER,PACIFICA AWD,13,5,95,13.7
FLEETWOOD,BOUNDER,13,13,470,2.8
FORD,BRONCO II,13,11,270,4.8
HARLEY-DAVIDSON,HARLEY DAVIDSON,13,9,148,8.8
HYUNDAI,IONIQ HYBRID,13,7,199,6.5
INFINITI,I35,13,6,300,4.3
INFINITI,QX4,13,9,389,3.3
KIA,SORENTO PHEV,13,7,68,19.1
KIA,STINGER,13,2,231,5.6
LAND ROVER,RANGE ROVER VELAR,13,6,169,7.7
LEXUS,GX470,13,5,239,5.4
MASERATI,GHIBLI,13,8,120,10.8
MAZDA,323,13,10,207,6.3
MERCEDES BENZ,C CLASS,13,10,254,5.1
MERCEDES BENZ,C280,13,7,235,5.5
MERCEDES-BENZ,GLC300,13,5,307,4.2
NISSAN,STANZA,13,10,213,6.1
TOYOTA,LAND CRUISER HYBRID,13,9,87,14.9
TOYOTA,PRIUS PRIME,13,4,165,7.9
VOLKSWAGEN,CABRIO,13,11,302,4.3
VOLKSWAGEN,JETTA SPORTWAGEN,13,9,234,5.6
VOLVO,240,13,7,186,7.0
VOLVO,VN770,13,10,243,5.3
VOLVO,VNL,13,8,176,7.4
AUDI,Q3,12,4,356,3.4
BMW,325XI,12,9,398,3.0
BMW,430I,12,3,166,7.2
BMW,650I,12,4,151,7.9
BMW,740IL,12,10,191,6.3
BMW,K 1600 GTL,12,8,93,12.9
BMW,M5,12,8,152,7.9
CHEVROLET,C/K PICKUPS,12,11,432,2.8
CHRYSLER,IMPERIAL,12,11,352,3.4
HARLEY-DAVIDSON,FLHTC,12,8,130,9.2
HARLEY-DAVIDSON,FLTRXS,12,7,59,20.3
HONDA,CMX250C,12,11,64,18.8
HYUNDAI,ELANTRA GT,12,4,161,7.5
HYUNDAI,KONA ELECTRIC,12,4,206,5.8
HYUNDAI,XG300,12,8,121,9.9
INFINITI,G20,12,10,127,9.4
JEEP,JEEP,12,9,127,9.4
KIA,EV9,12,7,405,3.0
LEXUS,LS460,12,7,226,5.3
LINCOLN,ZEPHYR,12,7,289,4.2
MERCEDES BENZ,C320,12,9,303,4.0
MERCEDES BENZ,S CLASS,12,10,338,3.6
PONTIAC,SUNBIRD,12,11,257,4.7
RIVIAN,R1T,12,2,195,6.2
SUZUKI,AERIO,12,10,145,8.3
VICTORY,CROSS COUNTRY,12,10,88,13.6
VOLKSWAGEN,GOLF ALLTRACK,12,6,153,7.8
YAMAHA,XV16,12,7,12,100.0
YAMAHA,YZFR6,12,11,58,20.7
AUDI,A3 CABRIOLET,11,6,202,5.4
BMW,740I,11,9,186,5.9
BMW,I3 REX,11,4,43,25.6
BMW,IX,11,3,186,5.9
BMW,R 1200 RT,11,2,147,7.5
CADILLAC,FLEETWOOD,11,8,265,4.2
CHEVROLET,C15,11,10,270,4.1
CHEVROLET,K15,11,10,155,7.1
CHEVROLET,MALIBU CLASSIC,11,8,406,2.7
CHEVROLET,SILVERADO 1500 HD,11,8,223,4.9
CHEVROLET,TAHOE HYBRID,11,6,139,7.9
CHEVROLET,TRAILBLAZER 360,11,9,208,5.3
CHRYSLER,EAGLE,11,8,61,18.0
GOODYEAR,EAGLE,11,8,509,2.2
HYUNDAI,ELANTRA TOURING,11,8,234,4.7
HYUNDAI,VENUE,11,10,221,5.0
INTERNATIONAL HARVESTER,SCHOOL BUS,11,10,46,23.9
LEXUS,GX,11,6,232,4.7
LINCOLN,MKZ HYBRID,11,8,235,4.7
MAZDA,CX-90 PLUG-IN HYBRID,11,6,184,6.0
MERCEDES BENZ,CLK350,11,9,135,8.1
MERCEDES BENZ,CLK430,11,8,50,22.0
MERCEDES BENZ,SLK350,11,10,66,16.7
MERCEDES-BENZ,B 250E,11,3,51,21.6
MITSUBISHI,RAIDER,11,10,126,8.7
PETERBILT,579,11,9,55,20.0
PORSCHE,CAYMAN,11,10,35,31.4
SUBARU,IMPREZA STI,11,10,53,20.8
SUBARU,JUSTY,11,11,56,19.6
SUBARU,LOYALE,11,9,107,10.3
SUZUKI,VITARA,11,10,148,7.4
TOYOTA,CROWN,11,6,160,6.9
TOYOTA,GR COROLLA,11,11,45,24.4
TOYOTA,RAV4 PRIME,11,1,298,3.7
VOLKSWAGEN,GOLF R,11,8,117,9.4
VOLVO,VN610,11,10,273,4.0
YAMAHA,YZFR1,11,11,133,8.3
AUDI,S3,10,10,123,8.1
AUDI,SQ5,10,2,156,6.4
BMW,R1150 RT,10,7,19,52.6
BMW,X4,10,4,137,7.3
BUICK,TERRAZA,10,6,341,2.9
CADILLAC,LYRIQ,10,2,221,4.5
CHEVROLET,BOLT EUV,10,8,213,4.7
CHEVROLET,NOVA,10,9,41,24.4
DODGE,B250,10,9,134,7.5
FLEETWOOD,PACE ARROW,10,9,216,4.6
FORD,CLUB WAGON,10,8,221,4.5
FORD,F SERIES,10,4,391,2.6
FORD,TAURUS SHO,10,5,159,6.3
GENESIS,GV80,10,6,280,3.6
GMC,PICK UP,10,7,158,6.3
HYUNDAI,TUCSON PLUG-IN HYBRID,10,7,42,23.8
INFINITI,J30,10,8,101,9.9
INFINITI,Q60,10,1,113,8.8
JAGUAR,JAGUAR,10,8,78,12.8
KIA,SOUL EV,10,6,52,19.2
LAND ROVER,LR4,10,9,195,5.1
MAZDA,MAZDA,10,7,88,11.4
MAZDA,MAZDASPEED6,10,6,33,30.3
MAZDA,NAVAJO,10,9,197,5.1
MINI,COOPER COUNTRYMAN,10,6,165,6.1
PLYMOUTH,COLT VISTA,10,9,46,21.7
PONTIAC,TRANS AM,10,9,196,5.1
SATURN,SKY,10,3,623,1.6
SUBARU,B9 TRIBECA,10,7,214,4.7
TOYOTA,COROLLA MATRIX,10,8,477,2.1
TOYOTA,REDUNDANT SIENNA,10,2,383,2.6
TOYOTA,SEQUOIA HYBRID,10,1,124,8.1
TOYOTA,SIENNA HYBRID,10,1,553,1.8
VOLKSWAGEN,EUROVAN,10,10,282,3.5
VOLVO,740,10,9,199,5.0
AUDI,5000,9,7,73,12.3
AUDI,ALLROAD,9,7,122,7.4
AUDI,Q5 E,9,4,107,8.4
BMW,530XI,9,3,243,3.7
BMW,BMW MOTORCYCLE,9,5,60,15.0
CHEVROLET,C2500,9,6,269,3.3
CHEVROLET,MALIBU ECO,9,4,173,5.2
CHRYSLER,SEBRING COUPE,9,8,67,13.4
DAEWOO,NUBIRA,9,7,573,1.6
DODGE,RAM 5500,9,0,114,7.9
DODGE,SPRINTER 2500,9,2,189,4.8
DODGE,SRT-4,9,7,48,18.8
GMC,GMC TRUCK,9,8,142,6.3
HARLEY-DAVIDSON,FLHRC,9,4,61,14.8
HARLEY-DAVIDSON,SPORTSTER,9,8,81,11.1
HYUNDAI,SONATA PLUG-IN HYBRID,9,0,103,8.7
INFINITI,M35,9,8,570,1.6
INFINITI,M45,9,1,372,2.4
KAWASAKI,NINJA,9,5,53,17.0
KIA,SEDONA EX,9,7,189,4.8
LEXUS,LS,9,3,293,3.1
MERCEDES BENZ,ML430,9,7,197,4.6
MERCEDES BENZ,ML500,9,9,141,6.4
MERCEDES BENZ,SLK,9,8,96,9.4
MERCEDES-BENZ,AMG C43,9,7,79,11.4
MERCEDES-BENZ,E 450,9,5,95,9.5
MERCEDES-BENZ,GLE 450,9,4,122,7.4
MERCURY,CAPRI,9,7,60,15.0
NISSAN,ARIYA,9,5,84,10.7
POLESTAR,POLESTAR 2,9,0,750,1.2
PORSCHE,911,9,4,182,4.9
TIFFIN,ALLEGRO,9,5,208,4.3
TOYOTA,PRIUS C,9,6,283,3.2
TOYOTA,RAV4 EV,9,4,34,26.5
TOYOTA,TOYOTA,9,6,233,3.9
VOLVO,WIA,9,8,91,9.9
YAMAHA,FJR1300,9,6,172,5.2
YAMAHA,YZF-R1,9,6,73,12.3
AUDI,S7,8,5,86,9.3
BMW,318,8,8,170,4.7
BMW,328IC,8,6,44,18.2
BMW,535D,8,5,98,8.2
BMW,R1200C,8,4,55,14.5
BMW,X1 SAV,8,5,221,3.6
CADILLAC,CT6 PLUG-IN HYBRID,8,8,16,50.0
CADILLAC,XTS,8,4,310,2.6
CHEVROLET,C SERIES,8,7,119,6.7
CHEVROLET,CELEBRITY,8,7,270,3.0
DODGE,PICKUP,8,8,142,5.6
FORD,MOUNTAINEER,8,8,52,15.4
FREIGHTLINER,FREIGHTLINER,8,7,233,3.4
GMC,ENVOY DENALI,8,5,172,4.7
HARLEY-DAVIDSON,FLHR,8,5,100,8.0
HARLEY-DAVIDSON,XG750,8,2,123,6.5
HONDA,CIVIC SI,8,5,242,3.3
HYUNDAI,EQUUS,8,4,139,5.8
INFINITI,EX35,8,4,102,7.8
INFINITI,M56,8,1,31,25.8
ISUZU,ASCENDER,8,6,281,2.8
LEXUS,GS,8,7,210,3.8
LEXUS,TX,8,4,114,7.0
LINCOLN,MARK,8,8,108,7.4
MERCEDES BENZ,CLK320,8,7,160,5.0
MERCEDES BENZ,MERCEDES BENZ,8,5,134,6.0
MERCURY,MILAN HYBRID,8,1,80,10.0
MINI,CLUBMAN,8,6,104,7.7
MITSUBISHI,ECLIPSE CROSS,8,4,104,7.7
NISSAN,PICKUP,8,6,69,11.6
RAM,4500,8,4,64,12.5
RIVIAN,R1S,8,2,280,2.9
SATURN,L300,8,5,170,4.7
SATURN,RELAY,8,6,190,4.2
SMART,FORTWO CABRIO,8,8,36,22.2
SUBARU,BAJA,8,5,146,5.5
SUBARU,SOLTERRA,8,1,137,5.8
TOYOTA,TERCEL,8,5,389,2.1
VICTORY,V92C SPECIAL EDITION,8,8,8,100.0
VOLKSWAGEN,VOLKSWAGEN,8,8,122,6.6
VOLVO,960,8,7,277,2.9
VOLVO,EX90,8,1,130,6.2
VOLVO,VNL64T,8,8,193,4.1
ACURA,MDX SPORT HYBRID,7,5,32,21.9
AUDI,AUDI,7,7,71,9.9
AUDI,QUATTRO,7,4,145,4.8
BMW,318I,7,5,113,6.2
BMW,330E,7,3,62,11.3
BMW,335XI,7,5,205,3.4
BMW,750XI,7,3,29,24.1
BMW,C650 GT MAXI-SCOOTER,7,0,69,10.1
BMW,R1100RSL,7,4,14,50.0
CADILLAC,CADILLAC,7,6,150,4.7
CADILLAC,XLR,7,5,108,6.5
CHEVROLET,CORVETTE Z06,7,2,175,4.0
CHEVROLET,G SERIES,7,7,116,6.0
CHEVROLET,G30,7,5,93,7.5
CHEVROLET,MOTOR HOME,7,7,105,6.7
CHRYSLER,LEBARON CONVERTIBLE,7,6,27,25.9
DAEWOO,LANOS,7,6,502,1.4
DODGE,CALIBER AWD,7,3,151,4.6
DODGE,DURANGO 4X4,7,4,109,6.4
DODGE,RAM WAGON,7,7,44,15.9
DODGE,SPRINTER 3500,7,4,113,6.2
FIAT,500E,7,1,80,8.8
FORD,F-550,7,3,125,5.6
FORD,F53,7,1,97,7.2
FORD,GT500,7,7,9,77.8
FORD,LTD,7,7,91,7.7
FREIGHTLINER,CASCADIA,7,5,401,1.7
GMC,C1500,7,5,161,4.3
GOODYEAR,WRANGLER,7,5,510,1.4
HONDA,VTX1800,7,1,149,4.7
HYUNDAI,ENTOURAGE,7,5,453,1.5
HYUNDAI,SANTA FE PLUG-IN HYBRID,7,4,79,8.9
INFINITI,QX30,7,3,98,7.1
ISUZU,AMIGO,7,5,221,3.2
JAGUAR,F-TYPE,7,1,59,11.9
JEEP,WRANGLER X RHD 4X4,7,4,59,11.9
KIA,CADENZA,7,3,292,2.4
KIA,K4,7,4,101,6.9
LAND ROVER,NEW RANGE ROVER,7,3,93,7.5
LINCOLN,MARK LT,7,2,59,11.9
LOTUS,ELISE,7,5,83,8.4
MAZDA,CX-70,7,5,84,8.3
MAZDA,MX3,7,7,122,5.7
MERCEDES BENZ,240,7,6,117,6.0
MERCEDES BENZ,CLK CLASS,7,7,40,17.5
MERCEDES-BENZ,A 220,7,6,124,5.6
MERCEDES-BENZ,GLB 250,7,2,159,4.4
MERCEDES-BENZ,S 580,7,3,116,6.0
MERCURY,MARAUDER,7,3,126,5.6
MERCURY,MERCURY,7,4,94,7.4
MINI,COOPER CLUBMAN,7,1,172,4.1
MINI,COOPER S COUNTRYMAN,7,7,59,11.9
NISSAN,CREW,7,5,130,5.4
PONTIAC,LEMANS,7,5,172,4.1
PORSCHE,911 TURBO,7,3,89,7.9
SAAB,9-7X,7,4,237,3.0
SUZUKI,ESTEEM,7,6,192,3.6
SUZUKI,XL-7,7,4,219,3.2
TOYOTA,TOYOTA TRUCK,7,7,180,3.9
VOLKSWAGEN,E-GOLF,7,3,88,8.0
VOLKSWAGEN,SCIROCCO,7,5,23,30.4
VOLVO,VN660,7,7,52,13.5
VOLVO,VOLVO,7,3,146,4.8
WINNEBAGO,ADVENTURER,7,4,272,2.6
YAMAHA,FZ09,7,6,20,35.0
YAMAHA,XV1600ASNC,7,6,13,53.8
YAMAHA,YZFR6L,7,7,37,18.9
AUDI,A4 AVANT,6,2,83,7.2
AUDI,Q6 E-TRON,6,1,72,8.3
BMW,228I,6,4,94,6.4
BMW,323CI,6,4,33,18.2
BMW,428I,6,2,258,2.3
BMW,435I,6,2,61,9.8
BMW,525,6,6,101,5.9
BMW,530IA,6,6,34,17.6
BMW,540IA,6,6,48,12.5
BMW,740LI,6,3,43,14.0
BMW,BMW,6,2,115,5.2
BMW,E46,6,4,51,11.8
BMW,K 1600 GT,6,4,39,15.4
BMW,K1200 GT,6,2,72,8.3
BMW,K1300 S,6,3,77,7.8
BMW,M340I,6,2,88,6.8
BMW,R1100 RT,6,3,24,25.0
BMW,R1200 GS ADVENTURE,6,2,47,12.8
BOUNDER,MOTORHOME,6,3,86,7.0
CADILLAC,CT4,6,4,56,10.7
CHEVROLET,EXPRESS 2500,6,3,104,5.8
CHEVROLET,EXPRESS 3500,6,6,163,3.7
CHEVROLET,PRIZM,6,5,195,3.1
CHEVROLET,REDUNDANT SILVERADO 2500,6,4,116,5.2
CHEVROLET,TRAILBLAZER EXT 370,6,5,370,1.6
DODGE,B SERIES,6,6,63,9.5
DODGE,CHARGER AWD,6,6,62,9.7
DODGE,SPRINTER,6,4,115,5.2
DUCATI,1199 PANIGALE,6,4,27,22.2
FIRESTONE,WILDERNESS,6,3,1760,0.3
FORD,E550,6,4,80,7.5
FORD,F SERIES (LIGHT),6,3,167,3.6
FORD,F-650,6,6,58,10.3
FORD,POLICE INTERCEPTOR SEDAN,6,5,43,14.0
GENESIS,G90,6,4,96,6.2
GMC,ENVOY XUV,6,5,231,2.6
GMC,K2500,6,6,73,8.2
GMC,YUKON XL DENALI,6,4,106,5.7
HARLEY-DAVIDSON,FLSTC,6,2,88,6.8
HARLEY-DAVIDSON,FLTRX,6,5,75,8.0
HONDA,CR-Z,6,2,91,6.6
HONDA,GROM125,6,5,12,50.0
HONDA,VTX1300,6,2,279,2.2
HUSQVARNA,VITPILEN 701,6,5,16,37.5
HYUNDAI,ELANTRA N,6,4,60,10.0
HYUNDAI,HYUNDAI,6,5,87,6.9
HYUNDAI,IONIQ 9,6,0,61,9.8
HYUNDAI,VELOSTER N,6,2,90,6.7
INFINITI,Q70,6,4,26,23.1
INFINITI,QX80,6,3,190,3.2
ISUZU,RODEO SPORT,6,6,143,4.2
JEEP,WRANGLER 4-DR 4X2,6,3,160,3.8
KAWASAKI,KLR650,6,3,229,2.6
KIA,KIA,6,4,76,7.9
LEXUS,ES HYBRID,6,4,67,9.0
LEXUS,GS 350,6,3,208,2.9
LEXUS,GX460,6,2,129,4.7
LEXUS,IS 300,6,2,158,3.8
LINCOLN,AVIATOR PHEV,6,2,65,9.2
LINCOLN,LINCOLN,6,6,153,3.9
MASERATI,QUATTROPORTE,6,4,68,8.8
MAZDA,TRIBUTE HYBRID,6,6,16,37.5
MERCEDES BENZ,420,6,5,92,6.5
MERCEDES BENZ,CLS550,6,4,82,7.3
MERCEDES BENZ,E430,6,4,100,6.0
MERCEDES BENZ,R500,6,5,42,14.3
MERCEDES BENZ,SLK230,6,3,190,3.2
MERCEDES-BENZ,AMG GLC43,6,5,50,12.0
MERCEDES-BENZ,AMG GT,6,3,25,24.0
MERCEDES-BENZ,C350,6,1,138,4.3
MERCEDES-BENZ,CLS550,6,5,54,11.1
MERCEDES-BENZ,E 350,6,4,65,9.2
MERCEDES-BENZ,GLE350,6,5,156,3.8
MERCEDES-BENZ,GLS 450,6,4,107,5.6
MITSUBISHI,MITSUBISHI,6,5,73,8.2
NISSAN,240SX,6,4,238,2.5
NISSAN,ALTIMA HYBRID,6,4,166,3.6
NISSAN,NISSAN,6,4,151,4.0
NISSAN,NV,6,4,88,6.8
NORTH CENTRAL EMERGENCY,FORD E-450,6,6,9,66.7
OLDSMOBILE,OLDSMOBILE,6,3,97,6.2
PLYMOUTH,COLT,6,4,160,3.8
POLESTAR,POLESTAR 3,6,2,126,4.8
PORSCHE,CAYENNE TURBO,6,2,47,12.8
SATURN,L200,6,1,207,2.9
SATURN,VUE HYBRID,6,3,72,8.3
SMART,FORTWO COUPE,6,5,26,23.1
SUBARU,SUBARU,6,5,104,5.8
SUZUKI,GSX-R750,6,3,66,9.1
SUZUKI,GSX1300,6,6,16,37.5
TOYOTA,MR2 SPYDER,6,6,41,14.6
TOYOTA,RAV4 PLUG-IN HYBRID,6,2,29,20.7
VINFAST,VF 8,6,4,122,4.9
YAMAHA,1100 SILVERADO,6,4,23,26.1
AM GENERAL,HUMMER,5,5,69,7.2
AUDI,80,5,3,29,17.2
AUDI,A6 ALLROAD,5,3,36,13.9
BMW,328CI,5,0,26,19.2
BMW,335,5,1,96,5.2
BMW,7-SERIES,5,1,26,19.2
BMW,760LI,5,4,28,17.9
BMW,K 1200 GT,5,1,23,21.7
BMW,K1200 R,5,4,21,23.8
BMW,K1300 GT,5,3,64,7.8
BMW,M6,5,4,48,10.4
BMW,R1100,5,4,15,33.3
BMW,R1100 RS,5,4,12,41.7
BMW,R1150GS,5,4,32,15.6
BMW,RT SERIES,5,3,15,33.3
BMW,X5 DIESEL SAV,5,0,59,8.5
BMW,Z3 ROADSTER,5,3,55,9.1
CADILLAC,ALLANTE,5,3,232,2.2
CAN-AM,SPYDER RS,5,4,101,5.0
CHEVROLET,C10,5,4,189,2.6
CHEVROLET,C20,5,5,101,5.0
CHEVROLET,C35,5,3,68,7.4
CHEVROLET,CAPTIVA SPORT,5,2,157,3.2
CHEVROLET,G VAN,5,5,34,14.7
CHEVROLET,K10,5,5,90,5.6
CHEVROLET,Z71,5,5,120,4.2
COACHMEN,MIRADA,5,4,43,11.6
DODGE,LANCER,5,4,59,8.5
DODGE,RAM 4500,5,0,53,9.4
DUCATI,MULTISTRADA,5,4,68,7.4
FORD,F-650 SD,5,2,57,8.8
FORD,F350,5,5,200,2.5
FORD,PICKUP,5,4,68,7.4
FORD,SUPER DUTY,5,3,73,6.8
FORD,SUPER DUTY F SERIES,5,3,28,17.9
FOREST RIVER,GEORGETOWN,5,2,194,2.6
GEO,STORM,5,4,347,1.4
GMC,K3500,5,1,16,31.2
