make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
JAYCO FIFTH WHEEL,PINNACLE,16,35,45.71,no,2015-2020,
MERCURY,GRAND MARQUIS,16,943,1.7,yes,1997-2009,
NISSAN,KICKS,16,889,1.8,yes,2018-2025,
SAAB,9-2X,16,95,16.84,no,2005-2005,
VOLVO,XC90,16,1262,1.27,yes,2004-2023,
FORD,CROWN VICTORIA,15,414,3.62,no,1994-2011,
FORD,E-350,15,268,5.6,no,2002-2023,
FOREST RIVER,ROCKWOOD,15,139,10.79,no,2012-2022,
FOREST RIVER,SHASTA,15,88,17.05,no,2015-2015,
HONDA,HR-V,15,2456,0.61,yes,2016-2025,
MERCEDES BENZ,GL450,15,124,12.1,no,2007-2009,
MITSUBISHI,ECLIPSE,15,356,4.21,no,1997-2012,
NISSAN,QUEST,15,622,2.41,yes,2002-2016,
PONTIAC,GRAND PRIX,15,1204,1.25,yes,1991-2008,
RAM,PROMASTER,15,898,1.67,yes,2014-2021,
RIVIAN,R1S,15,283,5.3,no,2023-2025,
AUDI,A4,14,1350,1.04,yes,2002-2021,
BMW,328I,14,3041,0.46,yes,1999-2016,
CHEVROLET,BLAZER,14,1282,1.09,yes,2001-2025,
CHEVROLET,UPLANDER,14,167,8.38,no,2005-2008,
FORD,F53,14,63,22.22,no,2018-2021,
HYUNDAI,VELOSTER,14,1569,0.89,yes,2012-2019,
JEEP,PATRIOT 4X4,14,286,4.9,no,2007-2010,
JEEP,WRANGLER 2-DR 4X4,14,196,7.14,no,2007-2009,
LAND ROVER,RANGE ROVER EVOQUE,14,559,2.5,yes,2012-2020,
MAZDA,CX-50,14,221,6.33,no,2023-2026,
MERCURY,MARINER,14,927,1.51,yes,2006-2011,
NISSAN,JUKE,14,577,2.43,yes,2011-2016,
BUICK,ENCORE,13,874,1.49,yes,2015-2019,
BUICK,ENVISION,13,364,3.57,no,2016-2024,
GMC,ENVOY,13,759,1.71,yes,2002-2008,
GMC,SIERRA,13,469,2.77,no,1995-2017,
HYUNDAI,SANTA FE SPORT,13,1567,0.83,yes,2013-2018,
LEXUS,ES,13,656,1.98,yes,2003-2020,
LINCOLN,MKZ,13,1850,0.7,yes,2008-2017,
CADILLAC,ATS,12,448,2.68,no,2013-2018,
CHRYSLER,SEBRING CONVERTIBLE,12,71,16.9,no,1996-2005,
FORD,FREESTAR,12,611,1.96,yes,2004-2006,
GMC,YUKON DENALI,12,630,1.9,yes,2003-2017,
INFINITI,Q50,12,676,1.78,yes,2014-2023,
INFINITI,QX60,12,819,1.47,yes,2014-2024,
KEYSTONE,COUGAR,12,81,14.81,no,2015-2026,
LEXUS,GX,12,196,6.12,no,2003-2025,
MERCEDES BENZ,CL500,12,50,24.0,no,1999-2005,
MERCEDES BENZ,S430,12,120,10.0,no,2000-2006,
MERCEDES BENZ,S550,12,62,19.35,no,2007-2008,
MITSUBISHI,MIRAGE,12,187,6.42,no,2014-2024,
SCION,XD,12,77,15.58,no,2008-2011,
VOLKSWAGEN,BEETLE,12,866,1.39,yes,1999-2019,
VOLKSWAGEN,CC,12,1218,0.99,yes,2009-2016,
BMW,535I,11,512,2.15,yes,2009-2015,
BMW,R1200 GS,11,68,16.18,no,2014-2016,
BUICK,RENDEZVOUS,11,328,3.35,no,2004-2007,
CHEVROLET,AVALANCHE,11,1188,0.93,yes,2007-2012,
CHEVROLET,EXPRESS,11,285,3.86,no,2002-2018,
FORD,F-450,11,154,7.14,no,2012-2020,
GMC,YUKON DENALI XL,11,488,2.25,no,2004-2018,
HYUNDAI,XG350,11,90,12.22,no,2002-2005,
JAYCO TRAVEL TRAILER,WHITE HAWK,11,41,26.83,no,2016-2020,
KIA,RONDO,11,229,4.8,no,2007-2009,
MAZDA,MAZDA5,11,233,4.72,no,2006-2014,
MINI,COOPER,11,1265,0.87,yes,2003-2017,
NISSAN,VERSA NOTE,11,358,3.07,no,2014-2018,
POLARIS,SLINGSHOT,11,138,7.97,no,2015-2019,
RAM,5500,11,208,5.29,no,2013-2021,
SHASTA,AIRFLYTE,11,58,18.97,no,2015-2016,
VOLVO,S80,11,245,4.49,no,1999-2013,
BMW,X1,10,954,1.05,yes,2016-2021,
CHEVROLET,AVEO,10,564,1.77,yes,2008-2011,
DODGE,CARAVAN,10,1035,0.97,yes,1999-2012,
FORD,ECOSPORT,10,2465,0.41,yes,2018-2021,
FORD,FREESTYLE,10,637,1.57,yes,2005-2007,
INFINITI,G35,10,536,1.87,yes,2003-2008,
LAND ROVER,LR2,10,158,6.33,no,2008-2015,
MAZDA,CX-90,10,547,1.83,yes,2024-2024,
MAZDA,CX9,10,52,19.23,no,2007-2010,
MERCEDES BENZ,S500,10,113,8.85,no,1999-2006,
MERCEDES-BENZ,GLB 250,10,162,6.17,no,2020-2022,
PLYMOUTH,PROWLER,10,14,71.43,no,1999-2002,
VOLVO,VNL,10,67,14.93,no,2011-2019,
BMW,K1600B,9,63,14.29,no,2018-2019,
BMW,Z3,9,52,17.31,no,1997-2003,
CHEVROLET,SPARK,9,622,1.45,yes,2013-2017,
FOREST RIVER,SALEM,9,120,7.5,no,2012-2025,
HONDA,GL1800,9,190,4.74,no,2001-2024,
INFINITI,M35,9,293,3.07,no,2006-2008,
JAYCO TRAVEL TRAILER,JAY FLIGHT,9,81,11.11,no,2007-2024,
JEEP,WRANGLER SAHARA,9,59,15.25,no,2007-2007,
LEXUS,IS,9,584,1.54,yes,2002-2022,
LEXUS,IS 250,9,572,1.57,yes,2006-2015,
LEXUS,RX,9,1071,0.84,yes,2004-2023,
MASERATI,GHIBLI,9,120,7.5,no,2014-2019,
MASERATI,QUATTROPORTE,9,52,17.31,no,2005-2009,
MERCEDES-BENZ,C250,9,861,1.05,yes,2012-2014,
POLESTAR,POLESTAR 2,9,755,1.19,yes,2021-2023,
SATURN,AURA,9,1085,0.83,yes,2007-2009,
VOLKSWAGEN,ATLAS CROSS SPORT,9,789,1.14,yes,2020-2024,
VOLKSWAGEN,ID.4,9,1783,0.5,yes,2021-2023,
ACURA,ILX,8,351,2.28,no,2013-2021,
AUDI,A8,8,269,2.97,no,2011-2016,
BMW,X6,8,275,2.91,no,2011-2018,
BUICK,RAINIER,8,141,5.67,no,2005-2007,
CAN-AM,SPYDER RT,8,167,4.79,no,2010-2024,
CHEVROLET,AVALANCHE 1500,8,450,1.78,no,2002-2013,
CHEVROLET,CAVALIER,8,204,3.92,no,1998-2004,
CHRYSLER,300C,8,814,0.98,yes,2005-2013,
FORD,F-150 HYBRID,8,895,0.89,yes,2021-2022,
FOREST RIVER,GEORGETOWN,8,115,6.96,no,2008-2023,
FOREST RIVER,WILDWOOD,8,91,8.79,no,2013-2023,
HONDA,ACCORD HYBRID,8,1179,0.68,yes,2017-2024,
INFINITI,I30,8,67,11.94,no,1996-2001,
JAGUAR,S-TYPE,8,126,6.35,no,2000-2008,
JEEP,COMPASS FWD,8,42,19.05,no,2007-2009,
JEEP,PATRIOT FWD,8,71,11.27,no,2007-2009,
KEYSTONE,FUZION,8,33,24.24,no,2014-2023,
KIA,AMANTI,8,117,6.84,no,2004-2008,
KIA,RIO,8,852,0.94,yes,2004-2023,
LAND ROVER,DISCOVERY,8,364,2.2,no,2000-2026,
LAND ROVER,LR3,8,69,11.59,no,2005-2009,
LEXUS,GX460,8,97,8.25,no,2014-2018,
MAZDA,B-SERIES TRUCK,8,146,5.48,no,1999-2006,
MAZDA,RX-8,8,317,2.52,no,2004-2010,
MERCEDES-BENZ,C200,8,35,22.86,no,2015-2015,
MERCEDES-BENZ,S550,8,164,4.88,no,2010-2015,
MERCEDES-BENZ,SPRINTER 3500,8,480,1.67,no,2015-2023,
PONTIAC,TORRENT,8,357,2.24,no,2006-2008,
TOYOTA,CAMRY HYBRID,8,1081,0.74,yes,2007-2025,
VOLKSWAGEN,TOUAREG,8,471,1.7,no,2004-2017,
AUDI,S6,7,158,4.43,no,2013-2016,
AUDI,SQ5,7,160,4.38,no,2014-2024,
BMW,530I,7,432,1.62,no,2001-2020,
BMW,750LI,7,458,1.53,no,2006-2021,
BMW,M3,7,244,2.87,no,2001-2021,
BMW,X7,7,477,1.47,no,2020-2025,
BUICK,LESABRE,7,351,1.99,no,1997-2003,
BUICK,VERANO,7,596,1.17,yes,2012-2016,
CADILLAC,XT5,7,446,1.57,no,2017-2018,
CHRYSLER,ASPEN,7,198,3.54,no,2007-2008,
CHRYSLER,CIRRUS,7,31,22.58,no,1996-2000,
CHRYSLER,PACIFICA PLUG-IN HYBRID,7,1077,0.65,yes,2018-2020,
COACHMEN,FREEDOM EXPRESS,7,40,17.5,no,2011-2021,
DODGE,CALIBER AWD,7,50,14.0,no,2007-2008,
DODGE,NITRO,7,902,0.78,yes,2007-2009,
FORD,E-150,7,178,3.93,no,1993-2011,
FORD,FIVE HUNDRED,7,261,2.68,no,2005-2006,
FOREST RIVER,VIBE,7,28,25.0,no,2015-2020,
FREIGHTLINER,CASCADIA,7,361,1.94,no,2009-2024,
HONDA,CIVIC HYBRID,7,277,2.53,no,2003-2013,
HYUNDAI,ELANTRA TOURING,7,145,4.83,no,2009-2012,
JEEP,GRAND WAGONEER,7,275,2.55,no,1993-2023,
KEYSTONE,ALPINE,7,57,12.28,no,2015-2024,
KEYSTONE,KEYSTONE,7,51,13.73,no,2017-2021,
KIA,SELTOS,7,779,0.9,yes,2021-2025,
LINCOLN,AVIATOR,7,427,1.64,no,2005-2023,
LINCOLN,MKS,7,400,1.75,no,2009-2015,
MERCEDES BENZ,C280,7,111,6.31,no,1998-2007,
MERCEDES-BENZ,GLA 250,7,440,1.59,no,2015-2023,
MITSUBISHI,LANCER EVOLUTION,7,64,10.94,no,2003-2013,
SATURN,ION,7,850,0.82,yes,2003-2007,
SCION,TC,7,305,2.3,no,2008-2015,
SUBARU,BAJA,7,75,9.33,no,2003-2006,
SUBARU,WRX,7,531,1.32,yes,2017-2023,
VOLKSWAGEN,TAOS,7,770,0.91,yes,2022-2024,
VOLVO,XC60,7,898,0.78,yes,2010-2019,
ACURA,CL,6,144,4.17,no,1998-2003,
AUDI,A4 ALLROAD,6,303,1.98,no,2013-2016,
AUDI,R8,6,14,42.86,no,2008-2009,
BMW,325I,6,617,0.97,yes,2002-2006,
BMW,330I,6,572,1.05,yes,2001-2021,
BMW,M4,6,63,9.52,no,2016-2020,
BMW,X4,6,140,4.29,no,2016-2021,
BUICK,TERRAZA,6,62,9.68,no,2005-2007,
CADILLAC,STS,6,241,2.49,no,2005-2008,
COACHMEN,MIRADA,6,25,24.0,no,2013-2022,
DODGE,MAGNUM,6,655,0.92,yes,2005-2007,
ENTEGRA,CONDOR,6,8,75.0,no,2024-2024,
FLEETWOOD,BOUNDER,6,62,9.68,no,2016-2020,
FORD,E-450,6,213,2.82,no,2015-2023,
FORD,EXPLORER SPORT TRAC,6,175,3.43,no,2003-2010,
FORD,F-550,6,116,5.17,no,2017-2020,
FORD,F-59,6,23,26.09,no,2020-2021,
FOREST RIVER,PALOMINO,6,23,26.09,no,2015-2025,
GMC,ENVOY DENALI,6,64,9.38,no,2006-2007,
HYUNDAI,GENESIS COUPE,6,242,2.48,no,2013-2014,
HYUNDAI,KONA,6,1098,0.55,yes,2018-2025,
INFINITI,FX35,6,327,1.83,no,2003-2010,
INFINITI,JX35,6,242,2.48,no,2013-2013,
ISUZU,RODEO SPORT,6,14,42.86,no,1998-2002,
KEYSTONE,BULLET,6,30,20.0,no,2014-2021,
KIA,CADENZA,6,283,2.12,no,2014-2017,
LEXUS,GX470,6,96,6.25,no,2003-2008,
LEXUS,HS,6,47,12.77,no,2010-2010,
LOTUS,EVORA,6,15,40.0,no,2011-2018,
MAZDA,CX-30,6,386,1.55,no,2020-2023,
MERCEDES BENZ,C230,6,346,1.73,no,1998-2007,
MERCEDES BENZ,E430,6,18,33.33,no,1998-2002,
MERCEDES-BENZ,GLS 450,6,109,5.5,no,2018-2020,
MERCEDES-BENZ,ML350,6,561,1.07,yes,2010-2015,
MERCEDES-BENZ,SPRINTER 2500,6,584,1.03,yes,2018-2025,
MITSUBISHI,GALANT,6,108,5.56,no,1997-2010,
MITSUBISHI,MIRAGE G4,6,98,6.12,no,2019-2024,
OLDSMOBILE,BRAVADA,6,59,10.17,no,1998-2004,
PONTIAC,VIBE,6,1171,0.51,yes,2003-2009,
PORSCHE,BOXSTER,6,41,14.63,no,2001-2015,
SMART,FORTWO,6,331,1.81,no,2008-2017,
TOYOTA,T100,6,40,15.0,no,1995-1998,
TOYOTA,VENZA,6,392,1.53,no,2009-2015,
VANLEIGH,BEACON,6,20,30.0,no,2019-2022,
VINFAST,VF 8,6,122,4.92,no,2023-2025,
ACURA,TSX,5,510,0.98,yes,2004-2012,
AUDI,A6,5,956,0.52,yes,1999-2016,
AUDI,Q3,5,362,1.38,no,2015-2017,
BMW,528I,5,958,0.52,yes,2000-2016,
BMW,I3,5,292,1.71,no,2014-2017,
BMW,Z4,5,576,0.87,yes,2003-2020,
CADILLAC,CTS-V,5,39,12.82,no,2004-2006,
CHEVROLET,CHEVEROLET SS,5,120,4.17,no,2014-2017,
CHEVROLET,S10,5,129,3.88,no,1995-2018,
FORD,F SUPER DUTY,5,71,7.04,no,2003-2008,
FORD,F-550 SD,5,132,3.79,no,2015-2022,
FORD,MUSTANG MACH E,5,1244,0.4,yes,2021-2024,
FOREST RIVER,CARDINAL,5,47,10.64,no,2015-2023,
FOREST RIVER,CEDAR CREEK,5,47,10.64,no,2020-2025,
FOREST RIVER,FREEDOM EXPRESS,5,15,33.33,no,2013-2018,
FOREST RIVER,R-POD,5,64,7.81,no,2012-2018,
FOREST RIVER,SURVEYOR,5,31,16.13,no,2015-2020,
GMC,SIERRA DENALI,5,267,1.87,no,2011-2018,
HONDA,INSIGHT,5,541,0.92,yes,2010-2020,
HONDA,VTX1300,5,32,15.62,no,2004-2007,
HYUNDAI,SONATA HYBRID,5,1079,0.46,yes,2011-2015,
HYUNDAI,XG 350,5,16,31.25,no,2004-2004,
INFINITI,QX80,5,194,2.58,no,2014-2025,
JAGUAR,XJ,5,106,4.72,no,2004-2014,
JAGUAR,XJ8,5,35,14.29,no,2004-2005,
JEEP,WRANGLER 4-DR 4X2,5,43,11.63,no,2007-2009,
KIA,SPECTRA,5,328,1.52,no,2002-2008,
LAND ROVER,DISCOVERY SPORT,5,277,1.81,no,2016-2020,
LARK,CARGO TRAILER,5,9,55.56,no,2013-2017,
LEXUS,ES350,5,1033,0.48,yes,2007-2017,
LEXUS,IS 300,5,68,7.35,no,2003-2020,
MAZDA,MAZDA2,5,48,10.42,no,2012-2014,
MERCEDES BENZ,S600,5,30,16.67,no,1995-2005,
MERCEDES BENZ,SLK350,5,50,10.0,no,2005-2005,
MERCEDES-BENZ,A 220,5,125,4.0,no,2019-2022,
MERCURY,MILAN,5,2057,0.24,yes,2006-2010,
MINI,COOPER S,5,616,0.81,yes,2003-2014,
NEWMAR,LONDON AIRE,5,34,14.71,no,2000-2022,
OLDSMOBILE,ALERO,5,285,1.75,no,1999-2004,
PONTIAC,MONTANA,5,76,6.58,no,1999-2006,
PORSCHE,CAYENNE,5,633,0.79,yes,2004-2022,
SATURN,OUTLOOK,5,581,0.86,yes,2007-2009,
SCION,XB,5,602,0.83,yes,2006-2012,
TESLA,CYBERTRUCK,5,310,1.61,no,2024-2025,
TOYOTA,PRIUS V,5,589,0.85,yes,2013-2014,
VANLEIGH,VILANO,5,17,29.41,no,2017-2019,
VOLKSWAGEN,GOLF ALLTRACK,5,153,3.27,no,2017-2017,
VOLKSWAGEN,GTI,5,1139,0.44,yes,2011-2017,
VOLVO,S40,5,157,3.18,no,2003-2009,
VOLVO,S60,5,750,0.67,yes,2002-2020,
VOLVO,XC70,5,201,2.49,no,2004-2011,
ARBOC,SPIRIT OF MOBILITY,4,4,100.0,no,2011-2011,
AUDI,Q5 E,4,107,3.74,no,2020-2024,
AUDI,S5,4,211,1.9,no,2014-2025,
BMW,325CI,4,167,2.4,no,2001-2006,
BMW,335I,4,624,0.64,yes,2007-2011,
BMW,740I,4,80,5.0,no,2001-2018,
BMW,K 1600 B,4,29,13.79,no,2018-2023,
BMW,K 1600 GT,4,36,11.11,no,2012-2019,
BMW,R 1200 GS,4,65,6.15,no,2007-2014,
BMW,R 1200 RT,4,70,5.71,no,2009-2015,
CADILLAC,CT6,4,93,4.3,no,2016-2020,
CADILLAC,DTS,4,306,1.31,no,2006-2010,
CADILLAC,XT4,4,168,2.38,no,2019-2024,
CHEVROLET,CAPRICE,4,25,16.0,no,1994-2013,
CHEVROLET,MONTE CARLO,4,423,0.95,no,1998-2004,
CHEVROLET,SILVERADO 3500,4,711,0.56,yes,2022-2026,
CHEVROLET,VOLT,4,2852,0.14,yes,2013-2017,
CHRYSLER,SEBRING SEDAN,4,35,11.43,no,2004-2006,
CROSSROADS,REDWOOD,4,10,40.0,no,2014-2017,
DODGE,RAM,4,50,8.0,no,1994-2010,
DODGE,RAM 5500,4,60,6.67,no,2008-2012,
ECLIPSE,ATTITUDE,4,26,15.38,no,2013-2020,
FIAT,500X,4,319,1.25,no,2016-2016,
FISKER,OCEAN,4,1838,0.22,yes,2023-2023,
FORD,E-250,4,64,6.25,no,2010-2017,
FORD,TAURUS X,4,88,4.55,no,2008-2009,
FORD,TRANSIT CONNECT,4,676,0.59,yes,2013-2018,
FOREST RIVER,COACHMEN,4,18,22.22,no,2013-2017,
FOREST RIVER,ECONOMY HAULER,4,4,100.0,no,2018-2023,
FOREST RIVER,FLAGSTAFF,4,71,5.63,no,2013-2021,
FOREST RIVER,SANDPIPER,4,30,13.33,no,2015-2021,
FOREST RIVER,WILDCAT,4,31,12.9,no,2010-2018,
GENESIS,GV70,4,383,1.04,no,2022-2022,
HARLEY-DAVIDSON,FLHCS,4,16,25.0,no,2022-2023,
HEARTLAND,CYCLONE,4,40,10.0,no,2011-2021,
HEARTLAND,MALLARD,4,24,16.67,no,2018-2021,
HOLIDAY HOUSE,18RB,4,7,57.14,no,2019-2021,
HONDA,ACCORD CROSSTOUR,4,97,4.12,no,2010-2010,
HONDA,CIVIC SI,4,244,1.64,no,2015-2022,
HYUNDAI,TIBURON,4,94,4.26,no,2003-2007,
INFINITI,G37,4,561,0.71,yes,2009-2010,
JAYCO,PRECEPT,4,71,5.63,no,2016-2026,
JAYCO FIFTH WHEEL,EAGLE,4,29,13.79,no,2008-2020,
JAYCO TRAVEL TRAILER,EAGLE,4,26,15.38,no,2010-2018,
KEYSTONE,RAPTOR,4,36,11.11,no,2013-2018,
KIA,K5,4,759,0.53,yes,2022-2025,
KIA,NIRO,4,513,0.78,yes,2023-2025,
LAND ROVER,LR4,4,178,2.25,no,2010-2013,
LEXUS,GS300,4,108,3.7,no,1995-2006,
LEXUS,LS,4,230,1.74,no,2007-2010,
LEXUS,RX350,4,677,0.59,yes,2009-2016,
MAZDA,MPV,4,80,5.0,no,2003-2005,
MERCEDES BENZ,CLS550,4,50,8.0,no,2006-2009,
MERCEDES BENZ,E300,4,14,28.57,no,1995-1999,
MERCEDES-BENZ,CLS550,4,45,8.89,no,2012-2014,
MERCEDES-BENZ,GLC 300,4,620,0.65,yes,2018-2022,
MERCEDES-BENZ,GLE 350,4,339,1.18,no,2020-2022,
MERCEDES-BENZ,S 580,4,109,3.67,no,2021-2022,
MERCURY,MOUNTAINEER,4,316,1.27,no,2002-2004,
NISSAN,ROGUE SPORT,4,500,0.8,yes,2017-2022,
PETERBILT,579,4,56,7.14,no,2015-2022,
PLYMOUTH,GRAND VOYAGER,4,56,7.14,no,1997-1999,
PONTIAC,G8,4,124,3.23,no,2009-2009,
PORSCHE,PANAMERA,4,147,2.72,no,2011-2025,
PRIME TIME,CRUSADER,4,26,15.38,no,2012-2016,
RAM,4500,4,67,5.97,no,2013-2017,
SUBARU,XV CROSSTREK,4,357,1.12,no,2013-2016,
THOR MOTOR COACH,FOUR WINDS,4,36,11.11,no,2015-2018,
THOR MOTOR COACH,WINDSPORT,4,52,7.69,no,2015-2018,
TIFFIN,ALLEGRO,4,66,6.06,no,2021-2024,
TOYOTA,C-HR,4,679,0.59,yes,2018-2020,
TOYOTA,LAND CRUISER,4,128,3.12,no,1998-2000,
TOYOTA,SEQUOIA SR5,4,25,16.0,no,2003-2003,
TOYOTA,SIENNA HYBRID,4,566,0.71,yes,2021-2024,
VOLKSWAGEN,EOS,4,449,0.89,no,2012-2013,
ACURA,RL,3,196,1.53,no,2002-2005,
ACURA,ZDX,3,116,2.59,no,2010-2011,
ALTEC,AT200A,3,3,100.0,no,2018-2018,
AUDI,A3,3,766,0.39,yes,2007-2016,
AUDI,A5,3,421,0.71,no,2018-2019,
AUDI,Q8,3,311,0.96,no,2019-2019,
BMW,3 SERIES,3,418,0.72,no,2001-2003,
BMW,323I,3,84,3.57,no,1999-2000,
BMW,328XI,3,482,0.62,no,2007-2008,
BMW,530XI,3,129,2.33,no,2006-2007,
BMW,535XI,3,120,2.5,no,2008-2013,
BMW,550I,3,261,1.15,no,2006-2013,
BMW,740IL,3,28,10.71,no,1997-2001,
BMW,I4,3,135,2.22,no,2023-2024,
BMW,I7,3,50,6.0,no,2024-2024,
BMW,K 1600 GTL,3,58,5.17,no,2014-2018,
BMW,X3 SAV,3,188,1.6,no,2007-2008,
BMW,Z3 ROADSTER,3,8,37.5,no,1998-2000,
BUICK,CENTURY,3,144,2.08,no,2003-2004,
BUICK,LUCERNE,3,626,0.48,yes,2008-2011,
CADILLAC,SEVILLE,3,46,6.52,no,2002-2002,
CHEVROLET,ASTRO,3,26,11.54,no,1995-2003,
CHEVROLET,MALIBU MAXX,3,296,1.01,no,2004-2006,
CHRYSLER,ASPEN 4X4,3,103,2.91,no,2007-2008,
CHRYSLER,CHRYSLER,3,65,4.62,no,,
DODGE,INTREPID,3,74,4.05,no,1995-2004,
DODGE,RAM 4500,3,18,16.67,no,2008-2012,
DRV,ELITE SUITE,3,9,33.33,no,2012-2017,
DUTCHMEN,COLEMAN,3,8,37.5,no,2019-2022,
FIAT,500L,3,269,1.12,no,2014-2014,
FORD,C-MAX,3,437,0.69,no,2013-2018,
FORD,EXCURSION,3,115,2.61,no,2000-2003,
FORD,F-150 LIGHTNING BEV,3,404,0.74,no,2022-2024,
FORD,THUNDERBIRD,3,82,3.66,no,2002-2003,
FOREST RIVER,FR3,3,26,11.54,no,2017-2021,
FOREST RIVER,PUMA,3,38,7.89,no,2014-2021,
FOREST RIVER,SUNSEEKER,3,37,8.11,no,2019-2023,
FOREST RIVER,VENGEANCE,3,43,6.98,no,2014-2021,
FOREST RIVER,XLR,3,25,12.0,no,2012-2019,
FOREST RIVER,XLR TOYHAULER,3,39,7.69,no,2016-2021,
GMC,ENVOY DENALI XL,3,24,12.5,no,2006-2006,
GMC,ENVOY XL,3,98,3.06,no,2003-2006,
GMC,SAVANA,3,69,4.35,no,2016-2018,
GMC,SIERRA 3500,3,527,0.57,yes,2015-2022,
HARLEY-DAVIDSON,FLHR,3,36,8.33,no,2003-2011,
HARLEY-DAVIDSON,FLHTCU,3,148,2.03,no,2008-2016,
HARLEY-DAVIDSON,FLHTK,3,132,2.27,no,2012-2012,
HARLEY-DAVIDSON,FXLRS,3,9,33.33,no,2020-2024,
HARLEY-DAVIDSON,FXLRST,3,17,17.65,no,2022-2023,
HEARTLAND,ROAD WARRIOR,3,12,25.0,no,2017-2018,
HIGHLAND RIDGE FW,OPEN RANGE,3,7,42.86,no,2016-2019,
HONDA,CR-V HYBRID,3,706,0.42,yes,2020-2025,
HONDA,CROSSTOUR,3,169,1.78,no,2010-2012,
HONDA,CTX700,3,17,17.65,no,2014-2014,
HUMMER,H2,3,124,2.42,no,2004-2009,
HYUNDAI,ELANTRA GT,3,161,1.86,no,2017-2018,
HYUNDAI,IONIQ 5,3,2138,0.14,yes,2023-2023,
HYUNDAI,SANTA CRUZ,3,471,0.64,no,2022-2024,
HYUNDAI,SANTA FE HYBRID,3,463,0.65,no,2023-2025,
HYUNDAI,VENUE,3,221,1.36,no,2020-2024,
ISUZU,NPR,3,27,11.11,no,2005-2006,
JAGUAR,XF,3,411,0.73,no,2011-2015,
JAYCO,SEISMIC,3,3,100.0,no,2013-2014,
JAYCO FIFTH WHEEL,SEISMIC,3,13,23.08,no,2015-2025,
KEYSTONE,CROSSROADS REDWOOD,3,4,75.0,no,2021-2022,
KEYSTONE,MONTANA,3,96,3.12,no,2008-2017,
KIA,K900,3,103,2.91,no,2015-2015,
KIA,OPTIMA HYBRID,3,371,0.81,no,2013-2017,
KIA,STINGER,3,232,1.29,no,2018-2021,
LAND ROVER,DEFENDER,3,384,0.78,no,2021-2023,
LEXUS,GS,3,168,1.79,no,1998-2013,
LEXUS,RX330,3,155,1.94,no,2004-2004,
LINCOLN,AVIATOR PHEV,3,65,4.62,no,2021-2022,
LINCOLN,CONTINENTAL,3,187,1.6,no,1992-2017,
LINCOLN,CORSAIR,3,250,1.2,no,2020-2021,
MAZDA,MX-5,3,144,2.08,no,2007-2016,
MAZDA,MX-5 MIATA,3,64,4.69,no,1996-2003,
MERCEDES BENZ,CL600,3,7,42.86,no,2001-2004,
MERCEDES BENZ,E550,3,26,11.54,no,2007-2007,
MERCEDES BENZ,ML320,3,202,1.49,no,2002-2009,
MERCEDES BENZ,ML350,3,334,0.9,no,2006-2009,
MERCEDES BENZ,R500,3,24,12.5,no,2006-2008,
MERCEDES-BENZ,C350,3,139,2.16,no,2012-2013,
MERCEDES-BENZ,CLA 250,3,142,2.11,no,2018-2021,
MERCEDES-BENZ,CLA250,3,459,0.65,no,2015-2015,
MERCEDES-BENZ,GL350,3,93,3.23,no,2011-2013,
MERCEDES-BENZ,METRIS,3,263,1.14,no,2016-2018,
MITSUBISHI,ENDEAVOR,3,126,2.38,no,2004-2008,
NISSAN,CUBE,3,216,1.39,no,2009-2011,
NISSAN,LEAF,3,1395,0.22,yes,2013-2020,
OLDSMOBILE,INTRIGUE,3,141,2.13,no,1998-2001,
PIERCE,IMPEL,3,6,50.0,no,2007-2007,
SAAB,9-7X,3,108,2.78,no,2005-2007,
SATURN,LS,3,103,2.91,no,2000-2001,
SUBARU,SOLTERRA,3,138,2.17,no,2023-2025,
SUZUKI,FORENZA,3,246,1.22,no,2005-2006,
THOR MOTOR COACH,ACE,3,43,6.98,no,2018-2022,
THOR MOTOR COACH,HURRICANE,3,47,6.38,no,2013-2022,
THOR MOTOR COACH,MIRAMAR,3,44,6.82,no,2015-2022,
TIFFIN,ALLEGRO OPEN ROAD,3,58,5.17,no,2022-2022,
TOYOTA,BZ4X,3,76,3.95,no,2023-2025,
TOYOTA,COROLLA CROSS,3,566,0.53,yes,2022-2026,
TOYOTA,LAND CRUISER HYBRID,3,88,3.41,no,2024-2025,
TOYOTA,PICKUP,3,40,7.5,no,1993-1994,
TOYOTA,RAV4 HYBRID,3,182,1.65,no,2016-2026,
TOYOTA,REDUNDANT SIENNA,3,383,0.78,no,2021-2022,
TOYOTA,SEQUOIA HYBRID,3,128,2.34,no,2024-2026,
VOLKSWAGEN,ROUTAN,3,862,0.35,yes,2009-2012,
XTREME OUTDOORS,LITTLE GUY MAX,3,3,100.0,no,2021-2022,
ALFA ROMEO,GIULIA,2,434,0.46,no,2018-2019,
ALLIANCE RV,VALOR,2,15,13.33,no,2022-2023,
ALUMA,ALUMA,2,5,40.0,no,2018-2021,
AMERICAN HAULER,CARGO TRAILERS,2,2,100.0,no,2007-2020,
AMERIVAN,TOYOTA SIENNA,2,34,5.88,no,2011-2012,
AUDI,A3 CABRIOLET,2,198,1.01,no,2015-2015,
AUDI,A7,2,200,1.0,no,2012-2014,
BAL,OTHER,2,108,1.85,no,,
BMW,135I,2,122,1.64,no,2008-2012,
BMW,325XI,2,165,1.21,no,2001-2003,
