make,model,suspension_complaints,total_complaints,suspension_share_pct,meets_500_threshold,suspension_model_years,note
SUNLAND,SUNLAND,1,2,50.0,no,1985-1985,
SUSPENSION,CONTROL ARM,1,3,33.33,no,,
SUZUKI,DL650A V-STROM,1,3,33.33,no,2014-2014,
SUZUKI,ESTEEM,1,4,25.0,no,2001-2001,
SUZUKI,GRAND VITARA,1,150,0.67,no,2006-2006,
SUZUKI,GRAND VITARA XL7,1,5,20.0,no,2002-2002,
SUZUKI,XL7,1,134,0.75,no,2009-2009,
TESLA,ROADSTER,1,1,100.0,no,2011-2011,
THOMAS,ER MODEL,1,3,33.33,no,1996-1996,
THOR CALIFORNIA,TAHOE 36WTB,1,1,100.0,no,2005-2005,
THOR MOTOR COACH,OMNI,1,16,6.25,no,2021-2021,
THOR MOTOR COACH,OUTLAW,1,34,2.94,no,2019-2019,
TIFFIN,OPEN TRAIL,1,2,50.0,no,2026-2026,
TIFFIN,PHAETON,1,38,2.63,no,2003-2003,
TIFFIN,WAYFARER,1,30,3.33,no,2020-2020,
TOWBLAZER,KSR MOTORCYCLE TRAILER,1,2,50.0,no,2025-2025,
TOYOTA,4RUNNER I-FORCE MAX HYBRID,1,3,33.33,no,2025-2025,
TOYOTA,86,1,23,4.35,no,2019-2019,
TOYOTA,AVALON HYBRID,1,65,1.54,no,2016-2016,
TOYOTA,AVENSIS,1,2,50.0,no,2011-2011,
TOYOTA,CAMRY SOLARA,1,264,0.38,no,2005-2005,
TOYOTA,CELICA,1,35,2.86,no,1991-1991,
TOYOTA,COROLLA IM,1,32,3.12,no,2018-2018,
TOYOTA,GR86,1,56,1.79,no,2025-2025,
TOYOTA,PRIUS C,1,264,0.38,no,2014-2014,
TOYOTA,PRIUS PRIME,1,165,0.61,no,2017-2017,
TOYOTA,RAV4 PRIME,1,298,0.34,no,2024-2024,
TOYOTA,TOYOTA,1,55,1.82,no,,
TOYOTA,TUNDRA HYBRID,1,12,8.33,no,2024-2024,
TOYOTA,YARIS H/B,1,42,2.38,no,2007-2007,
TRACKER,TRAILSTAR,1,2,50.0,no,2008-2008,
TRAILSTAR,K21VTA,1,2,50.0,no,2008-2008,
TRIPLE E RV,WONDER,1,1,100.0,no,2020-2020,
TRIUMPH,DAYTONA 675 R,1,6,16.67,no,2014-2014,
TRIUMPH,SCRAMBLER 400 X,1,9,11.11,no,2024-2024,
TRIUMPH,SPEED TWIN 900,1,2,50.0,no,2025-2025,
TRIUMPH,THUNDERBIRD,1,11,9.09,no,2010-2010,
TRIUMPH,TIGER 900,1,7,14.29,no,2020-2020,
TRIUMPH,TIGER SPORT,1,7,14.29,no,2023-2023,
TRW,TRACK CONTROL ARM,1,1,100.0,no,,
U-HAUL,AUTO TRANSPORTER TRAILER,1,9,11.11,no,,
ULTRA,ULTRA,1,1,100.0,no,,
UNKNOWN MANUFACTURER,UNKNOWN MANUFACTURER,1,46,2.17,no,,
URAL,TOURIST,1,8,12.5,no,2019-2019,
VANDERHALL,CARMEL,1,11,9.09,no,2022-2022,
VANDERHALL,VENICE,1,19,5.26,no,2019-2019,
VANGUARD,VANGUARD,1,3,33.33,no,,
VICTORY,CROSS ROADS,1,4,25.0,no,2011-2011,
VICTORY,VISION,1,22,4.55,no,2008-2008,
VMI,HONDA ODYSSEY NORTHSTAR,1,4,25.0,no,2011-2011,
VOLKSWAGEN,EUROVAN,1,21,4.76,no,2003-2003,
VOLKSWAGEN,GOLF SPORTSWAGEN,1,24,4.17,no,2016-2016,
VOLVO,EX90,1,138,0.72,no,2025-2025,
VOLVO,S60CC,1,5,20.0,no,2015-2015,
VOLVO,V60,1,73,1.37,no,2015-2015,
VOLVO,V70XC,1,23,4.35,no,2004-2004,
VOLVO,VN,1,19,5.26,no,2020-2020,
WESTERN STAR,4900,1,11,9.09,no,2020-2020,
WHEEL BEARING KIT,1402402,1,2,50.0,no,,
WHITE RIVER MARINE GROUP,BOAT TRAILER,1,13,7.69,no,2021-2021,
WILSON,LIVESTOCK TRAILER,1,1,100.0,no,2008-2008,
WINNEBAGO,BRAVE,1,7,14.29,no,2002-2002,
WINNEBAGO,FORZA,1,51,1.96,no,2016-2016,
WINNEBAGO,MINNIE,1,11,9.09,no,2017-2017,
WINNEBAGO,MINNIE WINNIE,1,24,4.17,no,2013-2013,
WINNEBAGO,REVEL,1,38,2.63,no,2023-2023,
WINNEBAGO,TOUR,1,7,14.29,no,2012-2012,
WINNEBAGO,VIEW,1,111,0.9,no,2014-2014,
YAMAHA,BOLT,1,58,1.72,no,2015-2015,
YAMAHA,FZS6,1,3,33.33,no,2007-2007,
YAMAHA,YZF-R3,1,6,16.67,no,2015-2015,
YAMAHA,YZF-R6C,1,3,33.33,no,2016-2016,
YAMAHA,YZFR1M,1,3,33.33,no,2015-2015,
ZERO,DS,1,5,20.0,no,2013-2013,
ZHONGMAO,BOAT TRAILER,1,3,33.33,no,2023-2023,
