level,rank_by_share_all_years,make,model,egress_complaints,make_total_complaints,share_pct_all_years,egress_2015_2026,total_2015_2026,share_pct_2015_2026,egress_2015_2024_pre_publicity,total_2015_2024,share_pct_2015_2024,egress_2025_2026,total_2025_2026,share_pct_2025_2026
model,54,HONDA,CIVIC,14,93636,,,,,,,,,,
model,55,SUBARU,OUTBACK,14,26653,,,,,,,,,,
model,56,HYUNDAI,SANTA FE,14,55317,,,,,,,,,,
model,57,TOYOTA,PRIUS,14,107291,,,,,,,,,,
model,58,CHEVROLET,SUBURBAN,13,184602,,,,,,,,,,
model,59,FORD,EDGE,12,291075,,,,,,,,,,
model,60,MERCURY,MILAN,12,22407,,,,,,,,,,
model,61,DODGE,DURANGO,12,111356,,,,,,,,,,
model,62,MERCEDES-BENZ,C250,11,24665,,,,,,,,,,
model,63,TOYOTA,HIGHLANDER,11,107291,,,,,,,,,,
model,64,LINCOLN,TOWN CAR,11,14136,,,,,,,,,,
model,65,NISSAN,SENTRA,11,71892,,,,,,,,,,
model,66,CHEVROLET,CORVETTE,11,184602,,,,,,,,,,
model,67,BUICK,LACROSSE,11,20605,,,,,,,,,,
model,68,FORD,WINDSTAR,11,291075,,,,,,,,,,
model,69,TOYOTA,TACOMA,11,107291,,,,,,,,,,
model,70,CHEVROLET,EQUINOX,11,184602,,,,,,,,,,
model,71,UNKNOWN,UNKNOWN,10,8180,,,,,,,,,,
model,72,GMC,ACADIA,10,47714,,,,,,,,,,
model,73,KIA,SPORTAGE,10,43344,,,,,,,,,,
