table,key,fire_complaints,parked_and_off,pct_of_fire_complaints,state_classifiable,pct_of_state_classifiable
by_component_all_years,ELECTRONIC STABILITY CONTROL (ESC),246,22,8.94,107,20.56
by_component_all_years,VISIBILITY,773,67,8.67,222,30.18
by_component_all_years,"FUEL SYSTEM, GASOLINE",1852,152,8.21,685,22.19
by_component_all_years,FUEL/PROPULSION SYSTEM,1401,111,7.92,696,15.95
by_component_all_years,SERVICE BRAKES,813,64,7.87,366,17.49
by_component_all_years,WHEELS,202,14,6.93,74,18.92
by_component_all_years,SEATS,1516,102,6.73,508,20.08
by_component_all_years,EXTERIOR LIGHTING,1315,81,6.16,282,28.72
by_component_all_years,SUSPENSION,379,17,4.49,109,15.6
by_component_all_years,AIR BAGS,1074,41,3.82,297,13.8
by_component_all_years,POWER TRAIN,1775,58,3.27,649,8.94
